CONTINENT	COUNTRY	POPULATION	POP_DENSITY	MEDIAN_AGE	OLDER65	OLDER70	EXTREME_POVERTY	GDP_PER_CAPITA	CARDIOVASCULAR_DEATH_RATE	DIABETES_PREVALENCE	FEMALE_SMOKERS	MALE_SMOKERS	HANDWASHING_FACILITIES	HOSPITAL_BEDS_PER_THOUSAND	LIFE_EXPECTANCY	HUMAN_DEVELOPMENT_INDEX
"Asia"	"Afghanistan"	38928341.0	54.421999999999997	18.600000000000001	2.581	1.337	NULL	1803.9870000000001	597.029	9.5899999999999999	NULL		37.746000000000002	0.5	64.829999999999998	0.498
"Europe"	"Albania"	2877800.0	104.871	38.0	13.188000000000001	8.6430000000000007	1.1000000000000001	11803.431	304.19499999999999	10.08	7.0999999999999996	51.200000000000003	NULL	2.8900000000000001	78.569999999999993	0.78500000000000003
"Africa"	"Algeria"	43851043.0	17.347999999999999	29.100000000000001	6.2110000000000003	3.8570000000000002	0.5	13913.839	278.36399999999998	6.7300000000000004	0.69999999999999996	30.399999999999999	83.741	1.8999999999999999	76.879999999999995	0.754
"Europe"	"Andorra"	77265.0	163.755	NULL		NULL		NULL	109.13500000000001	7.9699999999999998	29.0	37.799999999999997	NULL		83.730000000000004	0.85799999999999998
"Africa"	"Angola"	32866268.0	23.890000000000001	16.800000000000001	2.4049999999999998	1.3620000000000001	NULL	5819.4949999999999	276.04500000000002	3.9399999999999999	NULL		26.664000000000001	NULL	61.149999999999999	0.58099999999999996
"North America"	"Anguilla"	15002.0	NULL		NULL		NULL		NULL		NULL		NULL		81.879999999999995	
"North America"	"Antigua and Barbuda"	97928.0	231.845	32.100000000000001	6.9329999999999998	4.6310000000000002	NULL	21490.942999999999	191.511	13.17	NULL		NULL	3.7999999999999998	77.019999999999996	0.78000000000000003
"South America"	"Argentina"	45195777.0	16.177	31.899999999999999	11.198	7.4409999999999998	0.59999999999999998	18933.906999999999	191.03200000000001	5.5	16.199999999999999	27.699999999999999	NULL	5.0	76.670000000000002	0.82499999999999996
"Asia"	"Armenia"	2963234.0	102.931	35.700000000000003	11.231999999999999	7.5709999999999997	1.8	8787.5799999999999	341.00999999999999	7.1100000000000003	1.5	52.100000000000001	94.043000000000006	4.2000000000000002	75.090000000000003	0.755
"North America"	"Aruba"	106766.0	584.79999999999995	41.200000000000003	13.085000000000001	7.452	NULL	35973.781000000003	NULL	11.619999999999999	NULL		NULL		76.290000000000006	
"Oceania"	"Australia"	25499881.0	3.202	37.899999999999999	15.504	10.129	0.5	44648.709999999999	107.791	5.0700000000000003	13.0	16.5	NULL	3.8399999999999999	83.439999999999998	0.93899999999999995
"Europe"	"Austria"	9006400.0	106.749	44.399999999999999	19.202000000000002	13.747999999999999	0.69999999999999996	45436.686000000002	145.18299999999999	6.3499999999999996	28.399999999999999	30.899999999999999	NULL	7.3700000000000001	81.540000000000006	0.90800000000000003
"Asia"	"Azerbaijan"	10139175.0	119.309	32.399999999999999	6.0179999999999998	3.871	NULL	15847.419	559.81200000000001	7.1100000000000003	0.29999999999999999	42.5	83.241	4.7000000000000002	73.0	0.75700000000000001
"North America"	"Bahamas"	393248.0	39.497	34.299999999999997	8.9960000000000004	5.2000000000000002	NULL	27717.847000000002	235.95400000000001	13.17	3.1000000000000001	20.399999999999999	NULL	2.8999999999999999	73.920000000000002	0.80700000000000005
"Asia"	"Bahrain"	1701583.0	1935.9069999999999	32.399999999999999	2.3719999999999999	1.387	NULL	43290.705000000002	151.68899999999999	16.52	5.7999999999999998	37.600000000000001	NULL	2.0	77.290000000000006	0.84599999999999997
"Asia"	"Bangladesh"	164689383.0	1265.0360000000001	27.5	5.0979999999999999	3.262	14.800000000000001	3523.9839999999999	298.00299999999999	8.3800000000000008	1.0	44.700000000000003	34.808	0.80000000000000004	72.590000000000003	0.60799999999999998
"North America"	"Barbados"	287371.0	664.46299999999997	39.799999999999997	14.952	9.4730000000000008	NULL	16978.067999999999	170.05000000000001	13.57	1.8999999999999999	14.5	88.468999999999994	5.7999999999999998	79.189999999999998	0.80000000000000004
"Europe"	"Belarus"	9449321.0	46.857999999999997	40.299999999999997	14.798999999999999	9.7880000000000003	NULL	17167.967000000001	443.12900000000002	5.1799999999999997	10.5	46.100000000000001	NULL	11.0	74.790000000000006	0.80800000000000005
"Europe"	"Belgium"	11589616.0	375.56400000000002	41.799999999999997	18.571000000000002	12.849	0.20000000000000001	42658.576000000001	114.898	4.29	25.100000000000001	31.399999999999999	NULL	5.6399999999999997	81.629999999999995	0.91600000000000004
"North America"	"Belize"	397621.0	16.425999999999998	25.0	3.8530000000000002	2.2789999999999999	NULL	7824.3620000000001	176.95699999999999	17.109999999999999	NULL		90.082999999999998	1.3	74.620000000000005	0.70799999999999996
"Africa"	"Benin"	12123198.0	99.109999999999999	18.800000000000001	3.2440000000000002	1.9419999999999999	49.600000000000001	2064.2359999999999	235.84800000000001	0.98999999999999999	0.59999999999999998	12.300000000000001	11.035	0.5	61.770000000000003	0.51500000000000001
"North America"	"Bermuda"	62273.0	1308.8199999999999	NULL		NULL		50669.315000000002	139.547	13.0	NULL		NULL		82.590000000000003	
"Asia"	"Bhutan"	771612.0	21.187999999999999	28.600000000000001	4.8849999999999998	2.9769999999999999	1.5	8708.5969999999998	217.066	9.75	NULL		79.807000000000002	1.7	71.780000000000001	0.61199999999999999
