DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-13"	2.0	2.0	NULL		0.0	NULL	18.733000000000001	18.733000000000001	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0
"2020-03-19"	NULL		0.28599999999999998	NULL		0.0	NULL		2.6760000000000002	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		33.329999999999998
"2020-03-20"	4.0	2.0	0.28599999999999998	NULL	0.0	0.0	37.465000000000003	18.733000000000001	2.6760000000000002	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	33.329999999999998
"2020-03-21"	NULL		0.28599999999999998	NULL		0.0	NULL		2.6760000000000002	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		44.439999999999998
"2020-03-22"	NULL		0.28599999999999998	NULL		0.0	NULL		2.6760000000000002	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		44.439999999999998
"2020-03-23"	NULL		0.28599999999999998	NULL		0.0	NULL		2.6760000000000002	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		44.439999999999998
"2020-03-24"	12.0	8.0	1.429	NULL	0.0	0.0	112.395	74.930000000000007	13.380000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	44.439999999999998
"2020-03-25"	17.0	5.0	2.1429999999999998	NULL	0.0	0.0	159.227	46.831000000000003	20.071000000000002	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	44.439999999999998
"2020-03-26"	19.0	2.0	2.4289999999999998	NULL	0.0	0.0	177.959	18.733000000000001	22.747	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	44.439999999999998
"2020-03-27"	28.0	9.0	3.4289999999999998	NULL	0.0	0.0	262.25599999999997	84.296000000000006	32.113	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	44.439999999999998
