DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-03"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	108.0	108.0	NULL	0.001	NULL		NULL	"tests performed"	13.890000000000001
"2020-03-04"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	111.0	3.0	NULL	0.001	NULL		NULL	"tests performed"	13.890000000000001
"2020-03-05"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"tests performed"	13.890000000000001
"2020-03-06"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	120.0	9.0	NULL	0.001	NULL		NULL	"tests performed"	13.890000000000001
"2020-03-07"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	127.0	7.0	NULL	0.001	NULL		NULL	"tests performed"	13.890000000000001
"2020-03-08"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	137.0	10.0	NULL	0.001	NULL		NULL	"tests performed"	13.890000000000001
"2020-03-09"	3.0	3.0	NULL		0.0	NULL	0.017999999999999999	0.017999999999999999	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	147.0	10.0	NULL	0.001	NULL		NULL	"tests performed"	13.890000000000001
"2020-03-10"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	163.0	16.0	NULL	0.001	0.0	NULL		"tests performed"	13.890000000000001
"2020-03-11"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	187.0	24.0	NULL	0.001	0.0	NULL		"tests performed"	13.890000000000001
"2020-03-12"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	211.0	24.0	NULL	0.001	0.0	NULL		"tests performed"	13.890000000000001
"2020-03-13"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	241.0	30.0	NULL	0.001	0.0	NULL		"tests performed"	13.890000000000001
"2020-03-14"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	268.0	27.0	NULL	0.002	0.0	NULL		"tests performed"	13.890000000000001
"2020-03-15"	3.0	0.0	0.42899999999999999	NULL	0.0	0.0	0.017999999999999999	0.0	0.0030000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	293.0	25.0	NULL	0.002	0.0	NULL		"tests performed"	13.890000000000001
"2020-03-16"	NULL		0.0	NULL		0.0	NULL		0.0	NULL		NULL		NULL		NULL		NULL		NULL		342.0	49.0	NULL	0.002	0.0	NULL	0.0	"tests performed"	33.329999999999998
"2020-03-17"	5.0	2.0	0.28599999999999998	NULL	0.0	0.0	0.029999999999999999	0.012	0.002	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	381.0	39.0	NULL	0.002	0.0	108.5	0.0089999999999999993	"tests performed"	33.329999999999998
"2020-03-18"	8.0	3.0	0.71399999999999997	NULL	0.0	0.0	0.049000000000000002	0.017999999999999999	0.0040000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	427.0	46.0	NULL	0.0030000000000000001	0.0	47.600000000000001	0.021000000000000001	"tests performed"	33.329999999999998
"2020-03-19"	10.0	2.0	1.0	NULL	0.0	0.0	0.060999999999999999	0.012	0.0060000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	463.0	36.0	NULL	0.0030000000000000001	0.0	36.0	0.028000000000000001	"tests performed"	75.930000000000007
"2020-03-20"	10.0	0.0	1.0	NULL	0.0	0.0	0.060999999999999999	0.0	0.0060000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	499.0	36.0	NULL	0.0030000000000000001	0.0	37.0	0.027	"tests performed"	75.930000000000007
"2020-03-21"	17.0	7.0	2.0	NULL	0.0	0.0	0.10299999999999999	0.042999999999999997	0.012	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	564.0	65.0	NULL	0.0030000000000000001	0.0	21.0	0.048000000000000001	"tests performed"	81.480000000000004
"2020-03-22"	24.0	7.0	3.0	2.0	2.0	0.28599999999999998	0.14599999999999999	0.042999999999999997	0.017999999999999999	0.012	0.012	0.012	NULL		NULL		NULL		NULL		NULL	620.0	56.0	NULL	0.0040000000000000001	0.0	15.667	0.064000000000000001	"tests performed"	81.480000000000004
"2020-03-23"	27.0	3.0	3.4289999999999998	3.0	1.0	0.42899999999999999	0.16400000000000001	0.017999999999999999	0.021000000000000001	0.017999999999999999	0.0060000000000000001	0.0060000000000000001	NULL		NULL		NULL		NULL		NULL	712.0	92.0	NULL	0.0040000000000000001	0.0	15.458	0.065000000000000002	"tests performed"	81.480000000000004
"2020-03-24"	33.0	6.0	4.0	3.0	0.0	0.42899999999999999	0.20000000000000001	0.035999999999999997	0.024	0.017999999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL	794.0	82.0	NULL	0.0050000000000000001	0.0	14.75	0.068000000000000005	"tests performed"	81.480000000000004
"2020-03-25"	39.0	6.0	4.4290000000000003	4.0	1.0	0.57099999999999995	0.23699999999999999	0.035999999999999997	0.027	0.024	0.0060000000000000001	0.0060000000000000001	NULL		NULL		NULL		NULL		NULL	920.0	126.0	NULL	0.0060000000000000001	0.0	15.805999999999999	0.063	"tests performed"	82.409999999999997
"2020-03-26"	39.0	0.0	4.1429999999999998	5.0	1.0	0.71399999999999997	0.23699999999999999	0.0	0.025000000000000001	0.029999999999999999	0.0060000000000000001	0.0060000000000000001	NULL		NULL		NULL		NULL		NULL	1026.0	106.0	NULL	0.0060000000000000001	0.0	19.309999999999999	0.051999999999999998	"tests performed"	84.260000000000005
"2020-03-27"	48.0	9.0	5.4290000000000003	5.0	0.0	0.71399999999999997	0.29099999999999998	0.055	0.033000000000000002	0.029999999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL	1076.0	50.0	NULL	0.0070000000000000001	0.0	15.105	0.066000000000000003	"tests performed"	84.260000000000005
