DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-04-02"	2.0	2.0	NULL		0.0	NULL	76.275000000000006	76.275000000000006	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-03"	2.0	0.0	NULL		0.0	NULL	76.275000000000006	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-04"	2.0	0.0	NULL		0.0	NULL	76.275000000000006	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-05"	2.0	0.0	NULL		0.0	NULL	76.275000000000006	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-06"	2.0	0.0	NULL		0.0	NULL	76.275000000000006	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-07"	2.0	0.0	NULL		0.0	NULL	76.275000000000006	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-08"	2.0	0.0	0.28599999999999998	NULL	0.0	0.0	76.275000000000006	0.0	10.896000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-09"	2.0	0.0	0.0	NULL	0.0	0.0	76.275000000000006	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-10"	2.0	0.0	0.0	NULL	0.0	0.0	76.275000000000006	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-11"	2.0	0.0	0.0	NULL	0.0	0.0	76.275000000000006	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-12"	2.0	0.0	0.0	NULL	0.0	0.0	76.275000000000006	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-13"	3.0	1.0	0.14299999999999999	NULL	0.0	0.0	114.41200000000001	38.137	5.4480000000000004	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-14"	4.0	1.0	0.28599999999999998	NULL	0.0	0.0	152.54900000000001	38.137	10.896000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-15"	4.0	0.0	0.28599999999999998	NULL	0.0	0.0	152.54900000000001	0.0	10.896000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-16"	4.0	0.0	0.28599999999999998	NULL	0.0	0.0	152.54900000000001	0.0	10.896000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-17"	4.0	0.0	0.28599999999999998	NULL	0.0	0.0	152.54900000000001	0.0	10.896000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-18"	4.0	0.0	0.28599999999999998	NULL	0.0	0.0	152.54900000000001	0.0	10.896000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-19"	4.0	0.0	0.28599999999999998	NULL	0.0	0.0	152.54900000000001	0.0	10.896000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-20"	5.0	1.0	0.28599999999999998	NULL	0.0	0.0	190.68700000000001	38.137	10.896000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-21"	5.0	0.0	0.14299999999999999	NULL	0.0	0.0	190.68700000000001	0.0	5.4480000000000004	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-22"	6.0	1.0	0.28599999999999998	NULL	0.0	0.0	228.82400000000001	38.137	10.896000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-23"	6.0	0.0	0.28599999999999998	NULL	0.0	0.0	228.82400000000001	0.0	10.896000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-24"	6.0	0.0	0.28599999999999998	NULL	0.0	0.0	228.82400000000001	0.0	10.896000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-25"	6.0	0.0	0.28599999999999998	NULL	0.0	0.0	228.82400000000001	0.0	10.896000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-26"	6.0	0.0	0.28599999999999998	NULL	0.0	0.0	228.82400000000001	0.0	10.896000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-27"	6.0	0.0	0.14299999999999999	NULL	0.0	0.0	228.82400000000001	0.0	5.4480000000000004	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-28"	6.0	0.0	0.14299999999999999	NULL	0.0	0.0	228.82400000000001	0.0	5.4480000000000004	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-29"	6.0	0.0	0.0	NULL	0.0	0.0	228.82400000000001	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-30"	6.0	0.0	0.0	NULL	0.0	0.0	228.82400000000001	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-05-01"	6.0	0.0	0.0	NULL	0.0	0.0	228.82400000000001	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-05-02"	6.0	0.0	0.0	NULL	0.0	0.0	228.82400000000001	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-05-03"	6.0	0.0	0.0	NULL	0.0	0.0	228.82400000000001	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-05-04"	6.0	0.0	0.0	NULL	0.0	0.0	228.82400000000001	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-05-05"	6.0	0.0	0.0	NULL	0.0	0.0	228.82400000000001	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
