DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-10"	1.0	1.0	NULL		0.0	NULL	2.286	2.286	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	19.440000000000001
"2020-03-12"	11.0	10.0	NULL		0.0	NULL	25.143999999999998	22.858000000000001	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	30.559999999999999
"2020-03-13"	25.0	14.0	NULL		0.0	NULL	57.145000000000003	32.000999999999998	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	50.0
"2020-03-14"	37.0	12.0	NULL		0.0	NULL	84.575000000000003	27.43	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	50.0
"2020-03-15"	40.0	3.0	NULL		0.0	NULL	91.432000000000002	6.8570000000000002	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	50.0
"2020-03-16"	50.0	10.0	7.1429999999999998	NULL	0.0	0.0	114.29000000000001	22.858000000000001	16.327000000000002	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	50.0
"2020-03-17"	54.0	4.0	7.5709999999999997	NULL	0.0	0.0	123.43300000000001	9.1430000000000007	17.306999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	50.0
"2020-03-18"	56.0	2.0	7.8570000000000002	NULL	0.0	0.0	128.005	4.5720000000000001	17.960000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	50.0
"2020-03-19"	68.0	12.0	8.1430000000000007	NULL	0.0	0.0	155.435	27.43	18.613	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	50.0
"2020-03-20"	73.0	5.0	6.8570000000000002	NULL	0.0	0.0	166.864	11.429	15.673999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	50.0
"2020-03-21"	78.0	5.0	5.8570000000000002	NULL	0.0	0.0	178.29300000000001	11.429	13.388	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	50.0
"2020-03-22"	83.0	5.0	6.1429999999999998	NULL	0.0	0.0	189.72200000000001	11.429	14.041	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	50.0
"2020-03-23"	88.0	5.0	5.4290000000000003	NULL	0.0	0.0	201.15100000000001	11.429	12.409000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	50.0
