DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-07"	1.0	1.0	NULL		0.0	NULL	0.037999999999999999	0.037999999999999999	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0
"2020-03-09"	2.0	1.0	NULL		0.0	NULL	0.074999999999999997	0.037999999999999999	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0
"2020-03-13"	NULL		0.28599999999999998	NULL		0.0	NULL		0.010999999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		2.7799999999999998
"2020-03-14"	NULL		0.14299999999999999	NULL		0.0	NULL		0.0050000000000000001	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		2.7799999999999998
"2020-03-15"	3.0	1.0	0.28599999999999998	NULL	0.0	0.0	0.113	0.037999999999999999	0.010999999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	2.7799999999999998
"2020-03-16"	4.0	1.0	0.28599999999999998	NULL	0.0	0.0	0.151	0.037999999999999999	0.010999999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	2.7799999999999998
"2020-03-17"	4.0	0.0	0.28599999999999998	NULL	0.0	0.0	0.151	0.0	0.010999999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	2.7799999999999998
"2020-03-18"	10.0	6.0	1.143	NULL	0.0	0.0	0.377	0.22600000000000001	0.042999999999999997	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	57.409999999999997
"2020-03-19"	10.0	0.0	1.143	NULL	0.0	0.0	0.377	0.0	0.042999999999999997	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	57.409999999999997
"2020-03-20"	14.0	4.0	1.714	NULL	0.0	0.0	0.52700000000000002	0.151	0.065000000000000002	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	57.409999999999997
"2020-03-21"	27.0	13.0	3.5710000000000002	NULL	0.0	0.0	1.0169999999999999	0.48999999999999999	0.13500000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	57.409999999999997
"2020-03-22"	27.0	0.0	3.4289999999999998	NULL	0.0	0.0	1.0169999999999999	0.0	0.129	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	57.409999999999997
"2020-03-23"	27.0	0.0	3.286	NULL	0.0	0.0	1.0169999999999999	0.0	0.124	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	57.409999999999997
"2020-03-24"	56.0	29.0	7.4290000000000003	NULL	0.0	0.0	2.1099999999999999	1.0920000000000001	0.28000000000000003	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	57.409999999999997
"2020-03-25"	72.0	16.0	8.8569999999999993	1.0	1.0	0.14299999999999999	2.7120000000000002	0.60299999999999998	0.33400000000000002	0.037999999999999999	0.037999999999999999	0.037999999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	57.409999999999997
"2020-03-26"	72.0	0.0	8.8569999999999993	1.0	0.0	0.14299999999999999	2.7120000000000002	0.0	0.33400000000000002	0.037999999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	57.409999999999997
"2020-03-27"	88.0	16.0	10.571	1.0	0.0	0.14299999999999999	3.3149999999999999	0.60299999999999998	0.39800000000000002	0.037999999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	57.409999999999997
"2020-03-28"	88.0	0.0	8.7140000000000004	1.0	0.0	0.14299999999999999	3.3149999999999999	0.0	0.32800000000000001	0.037999999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	57.409999999999997
"2020-03-29"	99.0	11.0	10.286	2.0	1.0	0.28599999999999998	3.7290000000000001	0.41399999999999998	0.38700000000000001	0.074999999999999997	0.037999999999999999	0.037999999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	57.409999999999997
"2020-03-30"	99.0	0.0	10.286	2.0	0.0	0.28599999999999998	3.7290000000000001	0.0	0.38700000000000001	0.074999999999999997	0.0	0.0	1.1899999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		57.409999999999997
"2020-03-31"	142.0	43.0	12.286	2.0	0.0	0.28599999999999998	5.3490000000000002	1.6200000000000001	0.46300000000000002	0.074999999999999997	0.0	0.0	1.1899999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		57.409999999999997
"2020-04-01"	193.0	51.0	17.286000000000001	6.0	4.0	0.71399999999999997	7.2699999999999996	1.921	0.65100000000000002	0.22600000000000001	0.151	0.151	1.1899999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		57.409999999999997
"2020-04-02"	233.0	40.0	23.0	6.0	0.0	0.71399999999999997	8.7769999999999992	1.5069999999999999	0.86599999999999999	0.22600000000000001	0.0	0.0	1.1899999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		57.409999999999997
"2020-04-03"	271.0	38.0	26.143000000000001	7.0	1.0	0.85699999999999998	10.209	1.431	0.98499999999999999	0.26400000000000001	0.037999999999999999	0.037999999999999999	1.1799999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		57.409999999999997
"2020-04-04"	509.0	238.0	60.143000000000001	8.0	1.0	1.0	19.173999999999999	8.9659999999999993	2.266	0.30099999999999999	0.037999999999999999	0.037999999999999999	1.1799999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		68.519999999999996
"2020-04-05"	555.0	46.0	65.143000000000001	9.0	1.0	1.0	20.907	1.7330000000000001	2.4540000000000002	0.33900000000000002	0.037999999999999999	0.037999999999999999	1.1799999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		68.519999999999996
"2020-04-06"	650.0	95.0	78.713999999999999	9.0	0.0	1.0	24.486000000000001	3.5790000000000002	2.9649999999999999	0.33900000000000002	0.0	0.0	1.1799999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		68.519999999999996
"2020-04-07"	658.0	8.0	73.713999999999999	9.0	0.0	1.0	24.786999999999999	0.30099999999999999	2.7770000000000001	0.33900000000000002	0.0	0.0	1.1699999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		68.519999999999996
"2020-04-08"	685.0	27.0	70.286000000000001	9.0	0.0	0.42899999999999999	25.803999999999998	1.0169999999999999	2.6480000000000001	0.33900000000000002	0.0	0.0	1.1699999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		68.519999999999996
"2020-04-09"	730.0	45.0	71.0	10.0	1.0	0.57099999999999995	27.5	1.6950000000000001	2.6749999999999998	0.377	0.037999999999999999	0.037999999999999999	1.1699999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		68.519999999999996
"2020-04-10"	730.0	0.0	65.570999999999998	10.0	0.0	0.42899999999999999	27.5	0.0	2.4700000000000002	0.377	0.0	0.0	1.1699999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		68.519999999999996
"2020-04-11"	803.0	73.0	42.0	10.0	0.0	0.28599999999999998	30.25	2.75	1.5820000000000001	0.377	0.0	0.0	1.1699999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		68.519999999999996
"2020-04-12"	820.0	17.0	37.856999999999999	11.0	1.0	0.28599999999999998	30.890000000000001	0.64000000000000001	1.4259999999999999	0.41399999999999998	0.037999999999999999	0.037999999999999999	1.1699999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		68.519999999999996
"2020-04-13"	820.0	0.0	24.286000000000001	12.0	1.0	0.42899999999999999	30.890000000000001	0.0	0.91500000000000004	0.45200000000000001	0.037999999999999999	0.037999999999999999	1.1699999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		68.519999999999996
"2020-04-14"	820.0	0.0	23.143000000000001	12.0	0.0	0.42899999999999999	30.890000000000001	0.0	0.872	0.45200000000000001	0.0	0.0	1.1699999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		68.519999999999996
"2020-04-15"	855.0	35.0	24.286000000000001	17.0	5.0	1.143	32.207999999999998	1.3180000000000001	0.91500000000000004	0.64000000000000001	0.188	0.188	1.1699999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		68.519999999999996
"2020-04-16"	855.0	0.0	17.856999999999999	17.0	0.0	1.0	32.207999999999998	0.0	0.67300000000000004	0.64000000000000001	0.0	0.0	1.1699999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		68.519999999999996
"2020-04-17"	855.0	0.0	17.856999999999999	21.0	4.0	1.571	32.207999999999998	0.0	0.67300000000000004	0.79100000000000004	0.151	0.151	1.1699999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		68.519999999999996
"2020-04-18"	1016.0	161.0	30.428999999999998	21.0	0.0	1.571	38.273000000000003	6.0650000000000004	1.1459999999999999	0.79100000000000004	0.0	0.0	1.1699999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		71.299999999999997
"2020-04-19"	1016.0	0.0	28.0	21.0	0.0	1.429	38.273000000000003	0.0	1.0549999999999999	0.79100000000000004	0.0	0.0	1.1699999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		71.299999999999997
"2020-04-20"	1016.0	0.0	28.0	42.0	21.0	4.2859999999999996	38.273000000000003	0.0	1.0549999999999999	1.5820000000000001	0.79100000000000004	0.79100000000000004	1.1699999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		71.299999999999997
"2020-04-21"	1017.0	1.0	28.143000000000001	42.0	0.0	4.2859999999999996	38.311	0.037999999999999999	1.0600000000000001	1.5820000000000001	0.0	0.0	1.1699999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		71.299999999999997
