DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-07"	1.0	1.0	NULL		0.0	NULL	0.02	0.02	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	810.0	NULL		0.016	NULL		NULL	"samples tested"	12.039999999999999
"2020-03-08"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	813.0	3.0	NULL	0.016	NULL		NULL	"samples tested"	12.039999999999999
"2020-03-09"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	851.0	38.0	NULL	0.017000000000000001	NULL		NULL	"samples tested"	14.81
"2020-03-10"	3.0	2.0	NULL		0.0	NULL	0.058999999999999997	0.039	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	927.0	76.0	NULL	0.017999999999999999	NULL		NULL	"samples tested"	14.81
"2020-03-11"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	1133.0	206.0	NULL	0.021999999999999999	NULL		NULL	"samples tested"	14.81
"2020-03-12"	9.0	6.0	NULL		0.0	NULL	0.17699999999999999	0.11799999999999999	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	1393.0	260.0	NULL	0.027	NULL		NULL	"samples tested"	34.259999999999998
"2020-03-13"	NULL		1.286	NULL		0.0	NULL		0.025000000000000001	NULL		NULL		NULL		NULL		NULL		NULL		1754.0	361.0	NULL	0.034000000000000002	NULL		NULL	"samples tested"	34.259999999999998
"2020-03-14"	16.0	7.0	2.1429999999999998	NULL	0.0	0.0	0.314	0.13800000000000001	0.042000000000000003	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	2343.0	589.0	NULL	0.045999999999999999	0.0040000000000000001	NULL		"samples tested"	34.259999999999998
"2020-03-15"	34.0	18.0	4.7140000000000004	NULL	0.0	0.0	0.66800000000000004	0.35399999999999998	0.092999999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	3176.0	833.0	NULL	0.062	0.0070000000000000001	NULL		"samples tested"	34.259999999999998
"2020-03-16"	45.0	11.0	6.2859999999999996	NULL	0.0	0.0	0.88400000000000001	0.216	0.124	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	3607.0	431.0	NULL	0.070999999999999994	0.0080000000000000002	NULL		"samples tested"	45.369999999999997
"2020-03-17"	57.0	12.0	7.7140000000000004	NULL	0.0	0.0	1.1200000000000001	0.23599999999999999	0.152	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	3931.0	324.0	NULL	0.076999999999999999	0.0080000000000000002	NULL		"samples tested"	50.93
"2020-03-18"	65.0	8.0	8.8569999999999993	NULL	0.0	0.0	1.2769999999999999	0.157	0.17399999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	4690.0	759.0	NULL	0.091999999999999998	0.01	NULL		"samples tested"	50.93
"2020-03-19"	102.0	37.0	13.286	NULL	0.0	0.0	2.0049999999999999	0.72699999999999998	0.26100000000000001	NULL	0.0	0.0	1.8500000000000001	NULL		NULL		NULL		NULL		5363.0	673.0	NULL	0.105	0.010999999999999999	NULL		"samples tested"	50.93
"2020-03-20"	128.0	26.0	17.0	NULL	0.0	0.0	2.516	0.51100000000000001	0.33400000000000002	NULL	0.0	0.0	1.8700000000000001	NULL		NULL		NULL		NULL		5766.0	403.0	NULL	0.113	0.010999999999999999	NULL		"samples tested"	50.93
"2020-03-21"	158.0	30.0	20.286000000000001	NULL	0.0	0.0	3.105	0.58999999999999997	0.39900000000000002	NULL	0.0	0.0	1.8700000000000001	NULL		NULL		NULL		NULL		6064.0	298.0	NULL	0.11899999999999999	0.01	NULL		"samples tested"	50.93
"2020-03-22"	210.0	52.0	25.143000000000001	1.0	1.0	0.14299999999999999	4.1269999999999998	1.022	0.49399999999999999	0.02	0.02	0.02	1.8600000000000001	NULL		NULL		NULL		NULL		6910.0	846.0	NULL	0.13600000000000001	0.01	NULL		"samples tested"	50.93
"2020-03-23"	235.0	25.0	27.143000000000001	2.0	1.0	0.28599999999999998	4.6180000000000003	0.49099999999999999	0.53300000000000003	0.039	0.02	0.02	1.8600000000000001	NULL		NULL		NULL		NULL		7285.0	375.0	NULL	0.14299999999999999	0.01	NULL		"samples tested"	53.700000000000003
"2020-03-24"	306.0	71.0	35.570999999999998	3.0	1.0	0.42899999999999999	6.0140000000000002	1.395	0.69899999999999995	0.058999999999999997	0.02	0.02	1.8500000000000001	NULL		NULL		NULL		NULL		8051.0	766.0	NULL	0.158	0.012	NULL		"samples tested"	53.700000000000003
"2020-03-25"	378.0	72.0	44.713999999999999	3.0	0.0	0.42899999999999999	7.4290000000000003	1.415	0.879	0.058999999999999997	0.0	0.0	1.8100000000000001	NULL		NULL		NULL		NULL		8797.0	746.0	NULL	0.17299999999999999	0.012	NULL		"samples tested"	87.959999999999994
"2020-03-26"	470.0	92.0	52.570999999999998	4.0	1.0	0.57099999999999995	9.2370000000000001	1.8080000000000001	1.0329999999999999	0.079000000000000001	0.02	0.02	1.77	NULL		NULL		NULL		NULL		9228.0	431.0	NULL	0.18099999999999999	0.010999999999999999	NULL		"samples tested"	87.959999999999994
"2020-03-27"	491.0	21.0	51.856999999999999	6.0	2.0	0.85699999999999998	9.6500000000000004	0.41299999999999998	1.0189999999999999	0.11799999999999999	0.039	0.039	1.74	NULL		NULL		NULL		NULL		9486.0	258.0	NULL	0.186	0.01	NULL		"samples tested"	87.959999999999994
