DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-07"	1.0	1.0	NULL		0.0	NULL	0.19600000000000001	0.19600000000000001	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	11.109999999999999
"2020-03-09"	5.0	4.0	NULL		0.0	NULL	0.98199999999999998	0.78500000000000003	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	11.109999999999999
"2020-03-10"	9.0	4.0	NULL		0.0	NULL	1.7669999999999999	0.78500000000000003	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	29.629999999999999
"2020-03-11"	13.0	4.0	NULL		0.0	NULL	2.552	0.78500000000000003	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	68.0	68.0	NULL	0.012999999999999999	NULL		NULL	"people tested (incl. non-PCR)"	29.629999999999999
"2020-03-12"	22.0	9.0	NULL		0.0	NULL	4.319	1.7669999999999999	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	157.0	89.0	NULL	0.031	NULL		NULL	"people tested (incl. non-PCR)"	37.039999999999999
"2020-03-13"	23.0	1.0	3.286	NULL	0.0	0.0	4.5149999999999997	0.19600000000000001	0.64500000000000002	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	243.0	86.0	NULL	0.048000000000000001	NULL		NULL	"people tested (incl. non-PCR)"	37.039999999999999
"2020-03-14"	26.0	3.0	3.5710000000000002	NULL	0.0	0.0	5.1040000000000001	0.58899999999999997	0.70099999999999996	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	370.0	127.0	NULL	0.072999999999999995	NULL		NULL	"people tested (incl. non-PCR)"	37.039999999999999
"2020-03-15"	27.0	1.0	3.714	NULL	0.0	0.0	5.2999999999999998	0.19600000000000001	0.72899999999999998	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	485.0	115.0	NULL	0.095000000000000001	NULL		NULL	"people tested (incl. non-PCR)"	37.039999999999999
"2020-03-16"	35.0	8.0	4.2859999999999996	NULL	0.0	0.0	6.8710000000000004	1.5700000000000001	0.84099999999999997	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	656.0	171.0	NULL	0.129	NULL		NULL	"people tested (incl. non-PCR)"	37.039999999999999
"2020-03-17"	41.0	6.0	4.5709999999999997	NULL	0.0	0.0	8.0489999999999995	1.1779999999999999	0.89700000000000002	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	770.0	114.0	NULL	0.151	NULL		NULL	"people tested (incl. non-PCR)"	62.960000000000001
