DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-13"	2.0	2.0	NULL		0.0	NULL	0.064000000000000001	0.064000000000000001	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	8.3300000000000001
"2020-03-15"	2.0	0.0	NULL		0.0	NULL	0.064000000000000001	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	13.890000000000001
"2020-03-16"	2.0	0.0	NULL		0.0	NULL	0.064000000000000001	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	44.439999999999998
"2020-03-17"	6.0	4.0	NULL		0.0	NULL	0.193	0.129	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	143.0	NULL		0.0050000000000000001	NULL		NULL	"samples tested"	50.0
"2020-03-18"	6.0	0.0	NULL		0.0	NULL	0.193	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	50.0
"2020-03-19"	7.0	1.0	1.0	NULL	0.0	0.0	0.22500000000000001	0.032000000000000001	0.032000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	50.0
"2020-03-20"	11.0	4.0	1.286	NULL	0.0	0.0	0.35399999999999998	0.129	0.041000000000000002	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	50.0
"2020-03-21"	16.0	5.0	2.0	NULL	0.0	0.0	0.51500000000000001	0.161	0.064000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	50.0
"2020-03-22"	21.0	5.0	2.714	1.0	1.0	0.14299999999999999	0.67600000000000005	0.161	0.086999999999999994	0.032000000000000001	0.032000000000000001	0.032000000000000001	NULL		NULL		NULL		NULL		NULL	315.0	NULL		0.01	NULL		NULL	"samples tested"	52.780000000000001
"2020-03-23"	24.0	3.0	3.1429999999999998	1.0	0.0	0.14299999999999999	0.77200000000000002	0.097000000000000003	0.10100000000000001	0.032000000000000001	0.0	0.0	NULL		NULL		NULL		NULL		NULL	521.0	206.0	NULL	0.017000000000000001	NULL		NULL	"samples tested"	52.780000000000001
"2020-03-24"	27.0	3.0	3.0	2.0	1.0	0.28599999999999998	0.86899999999999999	0.097000000000000003	0.097000000000000003	0.064000000000000001	0.032000000000000001	0.032000000000000001	NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0040000000000000001	37.0	0.027	"samples tested"	52.780000000000001
"2020-03-25"	53.0	26.0	6.7140000000000004	2.0	0.0	0.28599999999999998	1.706	0.83699999999999997	0.216	0.064000000000000001	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0050000000000000001	24.277000000000001	0.041000000000000002	"samples tested"	52.780000000000001
"2020-03-26"	68.0	15.0	8.7140000000000004	3.0	1.0	0.42899999999999999	2.1880000000000002	0.48299999999999998	0.28000000000000003	0.097000000000000003	0.032000000000000001	0.032000000000000001	NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0070000000000000001	24.672000000000001	0.041000000000000002	"samples tested"	52.780000000000001
"2020-03-27"	132.0	64.0	17.286000000000001	3.0	0.0	0.42899999999999999	4.2480000000000002	2.0600000000000001	0.55600000000000005	0.097000000000000003	0.0	0.0	1.3600000000000001	NULL		NULL		NULL		NULL		NULL		NULL		0.0089999999999999993	15.504	0.064000000000000001	"samples tested"	52.780000000000001
"2020-03-28"	137.0	5.0	17.286000000000001	3.0	0.0	0.42899999999999999	4.4089999999999998	0.161	0.55600000000000005	0.097000000000000003	0.0	0.0	1.3600000000000001	NULL		NULL		NULL		NULL		2519.0	NULL		0.081000000000000003	0.01	18.512	0.053999999999999999	"samples tested"	52.780000000000001
"2020-03-29"	141.0	4.0	17.143000000000001	5.0	2.0	0.57099999999999995	4.5380000000000003	0.129	0.55200000000000005	0.161	0.064000000000000001	0.064000000000000001	1.3600000000000001	NULL		NULL		NULL		NULL		NULL		NULL		0.014999999999999999	26.774999999999999	0.036999999999999998	"samples tested"	52.780000000000001
"2020-03-30"	152.0	11.0	18.286000000000001	5.0	0.0	0.57099999999999995	4.8920000000000003	0.35399999999999998	0.58799999999999997	0.161	0.0	0.0	1.3600000000000001	NULL		NULL		NULL		NULL		NULL		NULL		0.017999999999999999	31.335999999999999	0.032000000000000001	"samples tested"	86.109999999999999
"2020-03-31"	152.0	0.0	17.856999999999999	5.0	0.0	0.42899999999999999	4.8920000000000003	0.0	0.57499999999999996	0.161	0.0	0.0	1.3700000000000001	NULL		NULL		NULL		NULL		NULL		NULL		0.021000000000000001	36.960000000000001	0.027	"samples tested"	86.109999999999999
"2020-04-01"	152.0	0.0	14.143000000000001	5.0	0.0	0.42899999999999999	4.8920000000000003	0.0	0.45500000000000002	0.161	0.0	0.0	1.3700000000000001	NULL		NULL		NULL		NULL		NULL		NULL		0.024	52.817999999999998	0.019	"samples tested"	86.109999999999999
"2020-04-02"	195.0	43.0	18.143000000000001	5.0	0.0	0.28599999999999998	6.2759999999999998	1.3839999999999999	0.58399999999999996	0.161	0.0	0.0	1.3700000000000001	NULL		NULL		NULL		NULL		NULL		NULL		0.027	45.969000000000001	0.021999999999999999	"samples tested"	86.109999999999999
"2020-04-03"	204.0	9.0	10.286	5.0	0.0	0.28599999999999998	6.5650000000000004	0.28999999999999998	0.33100000000000002	0.161	0.0	0.0	1.3799999999999999	NULL		NULL		NULL		NULL		NULL		NULL		0.029999999999999999	89.542000000000002	0.010999999999999999	"samples tested"	86.109999999999999
"2020-04-04"	205.0	1.0	9.7140000000000004	5.0	0.0	0.28599999999999998	6.5970000000000004	0.032000000000000001	0.313	0.161	0.0	0.0	1.3799999999999999	NULL		NULL		NULL		NULL		NULL		NULL		0.032000000000000001	103.765	0.01	"samples tested"	86.109999999999999
"2020-04-05"	214.0	9.0	10.429	5.0	0.0	0.0	6.8869999999999996	0.28999999999999998	0.33600000000000002	0.161	0.0	0.0	1.3899999999999999	NULL		NULL		NULL		NULL		NULL		NULL		0.032000000000000001	96.658000000000001	0.01	"samples tested"	86.109999999999999
"2020-04-06"	214.0	0.0	8.8569999999999993	5.0	0.0	0.0	6.8869999999999996	0.0	0.28499999999999998	0.161	0.0	0.0	1.3899999999999999	NULL		NULL		NULL		NULL		NULL		NULL		0.032000000000000001	113.806	0.0089999999999999993	"samples tested"	86.109999999999999
"2020-04-07"	287.0	73.0	19.286000000000001	5.0	0.0	0.0	9.2360000000000007	2.3490000000000002	0.621	0.161	0.0	0.0	1.3999999999999999	NULL		NULL		NULL		NULL		NULL		NULL		0.032000000000000001	52.267000000000003	0.019	"samples tested"	86.109999999999999
"2020-04-08"	287.0	0.0	19.286000000000001	5.0	0.0	0.0	9.2360000000000007	0.0	0.621	0.161	0.0	0.0	1.3999999999999999	NULL		NULL		NULL		NULL		NULL		NULL		0.032000000000000001	52.267000000000003	0.019	"samples tested"	86.109999999999999
"2020-04-09"	313.0	26.0	16.856999999999999	6.0	1.0	0.14299999999999999	10.073	0.83699999999999997	0.54300000000000004	0.193	0.032000000000000001	0.032000000000000001	1.4099999999999999	NULL		NULL		NULL		NULL		14611.0	NULL		0.46999999999999997	0.032000000000000001	59.796999999999997	0.017000000000000001	"samples tested"	86.109999999999999
"2020-04-10"	378.0	65.0	24.856999999999999	6.0	0.0	0.14299999999999999	12.164999999999999	2.0920000000000001	0.80000000000000004	0.193	0.0	0.0	1.4099999999999999	NULL		NULL		NULL		NULL		27346.0	12735.0	NULL	0.88	0.085999999999999993	107.937	0.0089999999999999993	"samples tested"	86.109999999999999
"2020-04-11"	378.0	0.0	24.713999999999999	6.0	0.0	0.14299999999999999	12.164999999999999	0.0	0.79500000000000004	0.193	0.0	0.0	1.4099999999999999	NULL		NULL		NULL		NULL		37954.0	10608.0	NULL	1.2210000000000001	0.13	164.035	0.0060000000000000001	"samples tested"	86.109999999999999
"2020-04-12"	408.0	30.0	27.713999999999999	8.0	2.0	0.42899999999999999	13.130000000000001	0.96499999999999997	0.89200000000000002	0.25700000000000001	0.064000000000000001	0.064000000000000001	1.4099999999999999	NULL		NULL		NULL		NULL		NULL		NULL		0.14499999999999999	163.02099999999999	0.0060000000000000001	"samples tested"	86.109999999999999
"2020-04-13"	566.0	158.0	50.286000000000001	8.0	0.0	0.42899999999999999	18.215	5.085	1.6180000000000001	0.25700000000000001	0.0	0.0	1.4099999999999999	NULL		NULL		NULL		NULL		NULL		NULL		0.16	99.073999999999998	0.01	"samples tested"	86.109999999999999
"2020-04-14"	566.0	0.0	39.856999999999999	8.0	0.0	0.42899999999999999	18.215	0.0	1.2829999999999999	0.25700000000000001	0.0	0.0	1.4099999999999999	NULL		NULL		NULL		NULL		50719.0	NULL		1.6319999999999999	0.17499999999999999	136.63800000000001	0.0070000000000000001	"samples tested"	86.109999999999999
"2020-04-15"	636.0	70.0	49.856999999999999	8.0	0.0	0.42899999999999999	20.468	2.2530000000000001	1.605	0.25700000000000001	0.0	0.0	1.4099999999999999	NULL		NULL		NULL		NULL		57000.0	6281.0	NULL	1.8340000000000001	0.20000000000000001	124.355	0.0080000000000000002	"samples tested"	86.109999999999999
"2020-04-16"	641.0	5.0	46.856999999999999	8.0	0.0	0.28599999999999998	20.629000000000001	0.161	1.508	0.25700000000000001	0.0	0.0	1.4099999999999999	NULL		NULL		NULL		NULL		NULL		NULL		0.20100000000000001	133.21299999999999	0.0080000000000000002	"samples tested"	86.109999999999999
"2020-04-17"	641.0	0.0	37.570999999999998	8.0	0.0	0.28599999999999998	20.629000000000001	0.0	1.2090000000000001	0.25700000000000001	0.0	0.0	1.4099999999999999	NULL		NULL		NULL		NULL		NULL		NULL		0.14799999999999999	122.673	0.0080000000000000002	"samples tested"	86.109999999999999
"2020-04-18"	641.0	0.0	37.570999999999998	8.0	0.0	0.28599999999999998	20.629000000000001	0.0	1.2090000000000001	0.25700000000000001	0.0	0.0	1.4099999999999999	NULL		NULL		NULL		NULL		60916.0	NULL		1.96	0.106	87.299999999999997	0.010999999999999999	"samples tested"	84.260000000000005
"2020-04-19"	834.0	193.0	60.856999999999999	9.0	1.0	0.14299999999999999	26.84	6.2110000000000003	1.9590000000000001	0.28999999999999998	0.032000000000000001	0.032000000000000001	1.4099999999999999	NULL		NULL		NULL		NULL		68591.0	7675.0	NULL	2.2069999999999999	0.121	61.932000000000002	0.016	"samples tested"	70.370000000000005
