DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-02-17"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	1.0	1.0	NULL	0.0	NULL		NULL	"people tested (incl. non-PCR)"	11.109999999999999
"2020-02-18"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"people tested (incl. non-PCR)"	11.109999999999999
"2020-02-19"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"people tested (incl. non-PCR)"	11.109999999999999
"2020-02-20"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"people tested (incl. non-PCR)"	11.109999999999999
"2020-02-21"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"people tested (incl. non-PCR)"	11.109999999999999
"2020-02-22"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"people tested (incl. non-PCR)"	11.109999999999999
"2020-02-23"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"people tested (incl. non-PCR)"	11.109999999999999
"2020-02-24"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"people tested (incl. non-PCR)"	11.109999999999999
"2020-02-25"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"people tested (incl. non-PCR)"	11.109999999999999
"2020-02-26"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	2.0	1.0	NULL	0.0	0.0	NULL		"people tested (incl. non-PCR)"	11.109999999999999
"2020-02-27"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"people tested (incl. non-PCR)"	11.109999999999999
"2020-02-28"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	4.0	2.0	NULL	0.0	0.0	NULL		"people tested (incl. non-PCR)"	11.109999999999999
"2020-02-29"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"people tested (incl. non-PCR)"	11.109999999999999
"2020-03-01"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"people tested (incl. non-PCR)"	11.109999999999999
"2020-03-02"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	5.0	1.0	NULL	0.0	0.0	NULL		"people tested (incl. non-PCR)"	11.109999999999999
"2020-03-03"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	7.0	2.0	NULL	0.0	0.0	NULL		"people tested (incl. non-PCR)"	11.109999999999999
"2020-03-04"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"people tested (incl. non-PCR)"	11.109999999999999
"2020-03-05"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"people tested (incl. non-PCR)"	11.109999999999999
"2020-03-06"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	8.0	1.0	NULL	0.0	0.0	NULL		"people tested (incl. non-PCR)"	25.0
"2020-03-07"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"people tested (incl. non-PCR)"	25.0
"2020-03-08"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	10.0	2.0	NULL	0.001	0.0	NULL		"people tested (incl. non-PCR)"	25.0
"2020-03-09"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	14.0	4.0	NULL	0.001	0.0	NULL		"people tested (incl. non-PCR)"	30.559999999999999
"2020-03-10"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	17.0	3.0	NULL	0.001	0.0	NULL		"people tested (incl. non-PCR)"	30.559999999999999
"2020-03-11"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	27.0	10.0	NULL	0.002	0.0	NULL		"people tested (incl. non-PCR)"	30.559999999999999
"2020-03-12"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	39.0	12.0	NULL	0.002	0.0	NULL		"people tested (incl. non-PCR)"	33.329999999999998
"2020-03-13"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	58.0	19.0	NULL	0.0030000000000000001	0.0	NULL		"people tested (incl. non-PCR)"	33.329999999999998
"2020-03-14"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	64.0	6.0	NULL	0.0040000000000000001	0.0	NULL		"people tested (incl. non-PCR)"	33.329999999999998
"2020-03-15"	1.0	1.0	NULL		0.0	NULL	0.056000000000000001	0.056000000000000001	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	86.0	22.0	NULL	0.0050000000000000001	0.001	NULL		"people tested (incl. non-PCR)"	41.670000000000002
"2020-03-16"	1.0	0.0	NULL	1.0	1.0	NULL	0.056000000000000001	0.0	NULL	0.056000000000000001	0.056000000000000001	0.056000000000000001	NULL		NULL		NULL		NULL		NULL	120.0	34.0	NULL	0.0070000000000000001	0.001	NULL		"people tested (incl. non-PCR)"	52.780000000000001
"2020-03-17"	6.0	5.0	NULL	1.0	0.0	NULL	0.33500000000000002	0.27900000000000003	NULL	0.056000000000000001	0.0	0.0	NULL		NULL		NULL		NULL		NULL	165.0	45.0	NULL	0.0089999999999999993	0.001	NULL		"people tested (incl. non-PCR)"	83.329999999999998
"2020-03-18"	6.0	0.0	NULL	1.0	0.0	NULL	0.33500000000000002	0.0	NULL	0.056000000000000001	0.0	0.0	NULL		NULL		NULL		NULL		NULL	216.0	51.0	NULL	0.012	0.002	NULL		"people tested (incl. non-PCR)"	83.329999999999998
"2020-03-19"	8.0	2.0	NULL	1.0	0.0	NULL	0.44700000000000001	0.112	NULL	0.056000000000000001	0.0	0.0	NULL		NULL		NULL		NULL		NULL	251.0	35.0	NULL	0.014	0.002	NULL		"people tested (incl. non-PCR)"	83.329999999999998
"2020-03-20"	9.0	1.0	NULL	1.0	0.0	NULL	0.502	0.056000000000000001	NULL	0.056000000000000001	0.0	0.0	NULL		NULL		NULL		NULL		NULL	308.0	57.0	NULL	0.017000000000000001	0.002	NULL		"people tested (incl. non-PCR)"	83.329999999999998
"2020-03-21"	13.0	4.0	1.857	1.0	0.0	0.14299999999999999	0.72599999999999998	0.223	0.104	0.056000000000000001	0.0	0.0	NULL		NULL		NULL		NULL		NULL	331.0	23.0	NULL	0.017999999999999999	0.002	NULL		"people tested (incl. non-PCR)"	83.329999999999998
"2020-03-22"	17.0	4.0	2.286	1.0	0.0	0.14299999999999999	0.94899999999999995	0.223	0.128	0.056000000000000001	0.0	0.0	NULL		NULL		NULL		NULL		NULL	368.0	37.0	NULL	0.021000000000000001	0.002	17.5	0.057000000000000002	"people tested (incl. non-PCR)"	93.519999999999996
"2020-03-23"	19.0	2.0	2.5710000000000002	1.0	0.0	0.0	1.0609999999999999	0.112	0.14399999999999999	0.056000000000000001	0.0	0.0	NULL		NULL		NULL		NULL		NULL	376.0	8.0	NULL	0.021000000000000001	0.002	14.388999999999999	0.069000000000000006	"people tested (incl. non-PCR)"	93.519999999999996
"2020-03-24"	20.0	1.0	2.0	1.0	0.0	0.0	1.1160000000000001	0.056000000000000001	0.112	0.056000000000000001	0.0	0.0	NULL		NULL		NULL		NULL		NULL	516.0	140.0	NULL	0.029000000000000001	0.0030000000000000001	25.0	0.040000000000000001	"people tested (incl. non-PCR)"	93.519999999999996
"2020-03-25"	21.0	1.0	2.1429999999999998	1.0	0.0	0.0	1.1719999999999999	0.056000000000000001	0.12	0.056000000000000001	0.0	0.0	NULL		NULL		NULL		NULL		NULL	610.0	94.0	NULL	0.034000000000000002	0.0030000000000000001	26.132999999999999	0.037999999999999999	"people tested (incl. non-PCR)"	93.519999999999996
"2020-03-26"	24.0	3.0	2.286	1.0	0.0	0.0	1.3400000000000001	0.16700000000000001	0.128	0.056000000000000001	0.0	0.0	NULL		NULL		NULL		NULL		NULL	614.0	4.0	NULL	0.034000000000000002	0.0030000000000000001	22.75	0.043999999999999997	"people tested (incl. non-PCR)"	93.519999999999996
"2020-03-27"	25.0	1.0	2.286	1.0	0.0	0.0	1.395	0.056000000000000001	0.128	0.056000000000000001	0.0	0.0	NULL		NULL		NULL		NULL		NULL	734.0	120.0	NULL	0.041000000000000002	0.0030000000000000001	26.687999999999999	0.036999999999999998	"people tested (incl. non-PCR)"	93.519999999999996
"2020-03-28"	32.0	7.0	2.714	1.0	0.0	0.0	1.786	0.39100000000000001	0.152	0.056000000000000001	0.0	0.0	NULL		NULL		NULL		NULL		NULL	797.0	63.0	NULL	0.043999999999999997	0.0040000000000000001	24.684000000000001	0.041000000000000002	"people tested (incl. non-PCR)"	93.519999999999996
"2020-03-29"	34.0	2.0	2.4289999999999998	1.0	0.0	0.0	1.8979999999999999	0.112	0.13600000000000001	0.056000000000000001	0.0	0.0	NULL		NULL		NULL		NULL		NULL	815.0	18.0	NULL	0.044999999999999998	0.0040000000000000001	26.353000000000002	0.037999999999999999	"people tested (incl. non-PCR)"	93.519999999999996
"2020-03-30"	36.0	2.0	2.4289999999999998	1.0	0.0	0.0	2.0089999999999999	0.112	0.13600000000000001	0.056000000000000001	0.0	0.0	NULL		NULL		NULL		NULL		NULL	860.0	45.0	NULL	0.048000000000000001	0.0040000000000000001	28.411999999999999	0.035000000000000003	"people tested (incl. non-PCR)"	93.519999999999996
