DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-12"	2.0	2.0	NULL		0.0	NULL	0.20200000000000001	0.20200000000000001	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	11.109999999999999
"2020-03-14"	3.0	1.0	NULL		0.0	NULL	0.30299999999999999	0.10100000000000001	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	33.329999999999998
"2020-03-16"	6.0	3.0	NULL		0.0	NULL	0.60599999999999998	0.30299999999999999	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	93.519999999999996
"2020-03-17"	8.0	2.0	NULL		0.0	NULL	0.80800000000000005	0.20200000000000001	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	93.519999999999996
"2020-03-18"	9.0	1.0	1.286	NULL	0.0	0.0	0.90900000000000003	0.10100000000000001	0.13	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	93.519999999999996
"2020-03-19"	12.0	3.0	1.429	NULL	0.0	0.0	1.212	0.30299999999999999	0.14399999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	93.519999999999996
"2020-03-20"	24.0	12.0	3.1429999999999998	NULL	0.0	0.0	2.423	1.212	0.317	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	97.219999999999999
"2020-03-21"	24.0	0.0	3.0	NULL	0.0	0.0	2.423	0.0	0.30299999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	100.0
"2020-03-22"	26.0	2.0	3.286	NULL	0.0	0.0	2.625	0.20200000000000001	0.33200000000000002	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	100.0
"2020-03-23"	27.0	1.0	3.0	NULL	0.0	0.0	2.726	0.10100000000000001	0.30299999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	100.0
