DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-04"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	230.0	NULL		0.024	NULL		NULL	"tests performed"	11.109999999999999
"2020-03-05"	2.0	2.0	NULL		0.0	NULL	0.20699999999999999	0.20699999999999999	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"tests performed"	11.109999999999999
"2020-03-06"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	269.0	NULL		0.028000000000000001	NULL		NULL	"tests performed"	11.109999999999999
"2020-03-07"	4.0	2.0	NULL		0.0	NULL	0.41399999999999998	0.20699999999999999	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	319.0	50.0	NULL	0.033000000000000002	NULL		NULL	"tests performed"	11.109999999999999
"2020-03-08"	7.0	3.0	NULL		0.0	NULL	0.72499999999999998	0.311	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	362.0	43.0	NULL	0.036999999999999998	NULL		NULL	"tests performed"	11.109999999999999
"2020-03-09"	8.0	1.0	NULL		0.0	NULL	0.82799999999999996	0.104	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"tests performed"	19.440000000000001
"2020-03-10"	9.0	1.0	NULL		0.0	NULL	0.93200000000000005	0.104	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	531.0	NULL		0.055	NULL		NULL	"tests performed"	19.440000000000001
"2020-03-11"	12.0	3.0	1.714	NULL	0.0	0.0	1.242	0.311	0.17699999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	609.0	78.0	NULL	0.063	0.0060000000000000001	NULL		"tests performed"	46.299999999999997
"2020-03-12"	13.0	1.0	1.571	NULL	0.0	0.0	1.3460000000000001	0.104	0.16300000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	730.0	121.0	NULL	0.075999999999999998	0.0070000000000000001	43.908999999999999	0.023	"tests performed"	50.0
"2020-03-13"	16.0	3.0	2.0	NULL	0.0	0.0	1.6559999999999999	0.311	0.20699999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	858.0	128.0	NULL	0.088999999999999996	0.0089999999999999993	42.0	0.024	"tests performed"	50.0
"2020-03-14"	25.0	9.0	3.0	NULL	0.0	0.0	2.5880000000000001	0.93200000000000005	0.311	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	1014.0	156.0	NULL	0.105	0.01	33.0	0.029999999999999999	"tests performed"	50.0
"2020-03-15"	31.0	6.0	3.4289999999999998	NULL	0.0	0.0	3.2090000000000001	0.621	0.35499999999999998	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	1236.0	222.0	NULL	0.128	0.012999999999999999	36.457999999999998	0.027	"tests performed"	50.0
"2020-03-16"	39.0	8.0	4.4290000000000003	1.0	1.0	0.14299999999999999	4.0369999999999999	0.82799999999999996	0.45800000000000002	0.104	0.104	0.104	NULL		NULL		NULL		NULL		NULL	1470.0	234.0	NULL	0.152	0.014999999999999999	32.968000000000004	0.029999999999999999	"tests performed"	67.590000000000003
"2020-03-17"	50.0	11.0	5.8570000000000002	1.0	0.0	0.14299999999999999	5.1760000000000002	1.139	0.60599999999999998	0.104	0.0	0.0	NULL		NULL		NULL		NULL		NULL	1587.0	117.0	NULL	0.16400000000000001	0.016	25.780000000000001	0.039	"tests performed"	67.590000000000003
"2020-03-18"	50.0	0.0	5.4290000000000003	1.0	0.0	0.14299999999999999	5.1760000000000002	0.0	0.56200000000000006	0.104	0.0	0.0	NULL		NULL		NULL		NULL		NULL	1803.0	216.0	NULL	0.187	0.017999999999999999	31.5	0.032000000000000001	"tests performed"	67.590000000000003
"2020-03-19"	73.0	23.0	8.5709999999999997	1.0	0.0	0.14299999999999999	7.5570000000000004	2.3809999999999998	0.88700000000000001	0.104	0.0	0.0	NULL		NULL		NULL		NULL		NULL	2322.0	519.0	NULL	0.23999999999999999	0.023	26.483000000000001	0.037999999999999999	"tests performed"	67.590000000000003
"2020-03-20"	85.0	12.0	9.8569999999999993	1.0	0.0	0.14299999999999999	8.7989999999999995	1.242	1.02	0.104	0.0	0.0	NULL		NULL		NULL		NULL		NULL	3007.0	685.0	NULL	0.311	0.032000000000000001	31.145	0.032000000000000001	"tests performed"	67.590000000000003
"2020-03-21"	103.0	18.0	11.143000000000001	4.0	3.0	0.57099999999999995	10.662000000000001	1.863	1.153	0.41399999999999998	0.311	0.311	NULL		NULL		NULL		NULL		NULL	3477.0	470.0	NULL	0.35999999999999999	0.035999999999999997	31.59	0.032000000000000001	"tests performed"	67.590000000000003
"2020-03-22"	131.0	28.0	14.286	4.0	0.0	0.57099999999999995	13.561	2.8980000000000001	1.4790000000000001	0.41399999999999998	0.0	0.0	1.71	NULL		NULL		NULL		NULL		4443.0	966.0	NULL	0.46000000000000002	0.047	32.060000000000002	0.031	"tests performed"	67.590000000000003
"2020-03-23"	167.0	36.0	18.286000000000001	7.0	3.0	0.85699999999999998	17.286999999999999	3.7269999999999999	1.893	0.72499999999999998	0.311	0.311	1.6899999999999999	NULL		NULL		NULL		NULL		5515.0	1072.0	NULL	0.57099999999999995	0.059999999999999998	31.609000000000002	0.032000000000000001	"tests performed"	67.590000000000003
"2020-03-24"	187.0	20.0	19.571000000000002	8.0	1.0	1.0	19.356999999999999	2.0699999999999998	2.0259999999999998	0.82799999999999996	0.104	0.104	1.6499999999999999	NULL		NULL		NULL		NULL		6113.0	598.0	NULL	0.63300000000000001	0.067000000000000004	33.058	0.029999999999999999	"tests performed"	67.590000000000003
"2020-03-25"	226.0	39.0	25.143000000000001	10.0	2.0	1.286	23.395	4.0369999999999999	2.6030000000000002	1.0349999999999999	0.20699999999999999	0.20699999999999999	1.6499999999999999	NULL		NULL		NULL		NULL		6817.0	704.0	NULL	0.70599999999999996	0.073999999999999996	28.477	0.035000000000000003	"tests performed"	67.590000000000003
"2020-03-26"	261.0	35.0	26.856999999999999	10.0	0.0	1.286	27.018000000000001	3.6230000000000002	2.7799999999999998	1.0349999999999999	0.0	0.0	1.6299999999999999	NULL		NULL		NULL		NULL		8005.0	1188.0	NULL	0.82899999999999996	0.084000000000000005	30.234000000000002	0.033000000000000002	"tests performed"	67.590000000000003
"2020-03-27"	300.0	39.0	30.713999999999999	10.0	0.0	1.286	31.055	4.0369999999999999	3.1789999999999998	1.0349999999999999	0.0	0.0	1.6100000000000001	NULL		NULL		NULL		NULL		9275.0	1270.0	NULL	0.95999999999999996	0.092999999999999999	29.140000000000001	0.034000000000000002	"tests performed"	71.299999999999997
"2020-03-28"	343.0	43.0	34.286000000000001	11.0	1.0	1.0	35.506	4.4509999999999996	3.5489999999999999	1.139	0.104	0.104	1.5900000000000001	NULL		NULL		NULL		NULL		10303.0	1028.0	NULL	1.0669999999999999	0.10100000000000001	28.437999999999999	0.035000000000000003	"tests performed"	76.849999999999994
"2020-03-29"	408.0	65.0	39.570999999999998	13.0	2.0	1.286	42.234000000000002	6.7290000000000001	4.0960000000000001	1.3460000000000001	0.20699999999999999	0.20699999999999999	1.5700000000000001	NULL		NULL		NULL		NULL		12148.0	1845.0	NULL	1.258	0.114	27.823	0.035999999999999997	"tests performed"	76.849999999999994
"2020-03-30"	447.0	39.0	40.0	15.0	2.0	1.143	46.271999999999998	4.0369999999999999	4.141	1.5529999999999999	0.20699999999999999	0.20699999999999999	1.5	NULL		NULL		NULL		NULL		13301.0	1153.0	NULL	1.377	0.115	27.800000000000001	0.035999999999999997	"tests performed"	76.849999999999994
"2020-03-31"	492.0	45.0	43.570999999999998	16.0	1.0	1.143	50.93	4.6580000000000004	4.5099999999999998	1.6559999999999999	0.104	0.104	1.45	NULL		NULL		NULL		NULL		14146.0	845.0	NULL	1.464	0.11899999999999999	26.347999999999999	0.037999999999999999	"tests performed"	76.849999999999994
"2020-04-01"	525.0	33.0	42.713999999999999	20.0	4.0	1.429	54.345999999999997	3.4159999999999999	4.4219999999999997	2.0699999999999998	0.41399999999999998	0.41399999999999998	1.4199999999999999	NULL		NULL		NULL		NULL		15208.0	1062.0	NULL	1.5740000000000001	0.124	28.07	0.035999999999999997	"tests performed"	76.849999999999994
"2020-04-02"	585.0	60.0	46.286000000000001	21.0	1.0	1.571	60.557000000000002	6.2110000000000003	4.7910000000000004	2.1739999999999999	0.104	0.104	1.4099999999999999	NULL		NULL		NULL		NULL		16401.0	1193.0	NULL	1.698	0.124	25.904	0.039	"tests performed"	76.849999999999994
"2020-04-03"	623.0	38.0	46.143000000000001	26.0	5.0	2.286	64.489999999999995	3.9340000000000002	4.7770000000000001	2.6909999999999998	0.51800000000000002	0.51800000000000002	1.3899999999999999	NULL		NULL		NULL		NULL		17769.0	1368.0	NULL	1.839	0.126	26.288	0.037999999999999999	"tests performed"	76.849999999999994
"2020-04-04"	678.0	55.0	47.856999999999999	32.0	6.0	3.0	70.183999999999997	5.6929999999999996	4.9539999999999997	3.3130000000000002	0.621	0.621	1.3999999999999999	NULL		NULL		NULL		NULL		19424.0	1655.0	NULL	2.0110000000000001	0.13500000000000001	27.227	0.036999999999999998	"tests performed"	76.849999999999994
"2020-04-05"	733.0	55.0	46.429000000000002	34.0	2.0	3.0	75.876999999999995	5.6929999999999996	4.806	3.52	0.20699999999999999	0.20699999999999999	1.3999999999999999	NULL		NULL		NULL		NULL		21250.0	1826.0	NULL	2.2000000000000002	0.13500000000000001	28.0	0.035999999999999997	"tests performed"	76.849999999999994
"2020-04-06"	744.0	11.0	42.429000000000002	38.0	4.0	3.286	77.016000000000005	1.139	4.3920000000000003	3.9340000000000002	0.41399999999999998	0.41399999999999998	1.3999999999999999	NULL		NULL		NULL		NULL		22282.0	1032.0	NULL	2.3069999999999999	0.13300000000000001	30.239000000000001	0.033000000000000002	"tests performed"	76.849999999999994
"2020-04-07"	817.0	73.0	46.429000000000002	47.0	9.0	4.4290000000000003	84.572999999999993	7.5570000000000004	4.806	4.8650000000000002	0.93200000000000005	0.93200000000000005	1.48	NULL		NULL		NULL		NULL		23746.0	1464.0	NULL	2.4580000000000002	0.14199999999999999	29.529	0.034000000000000002	"tests performed"	76.849999999999994
"2020-04-08"	895.0	78.0	52.856999999999999	58.0	11.0	5.4290000000000003	92.647000000000006	8.0739999999999998	5.4720000000000004	6.0039999999999996	1.139	1.139	1.53	NULL		NULL		NULL		NULL		25748.0	2002.0	NULL	2.665	0.156	28.492000000000001	0.035000000000000003	"tests performed"	76.849999999999994
"2020-04-09"	980.0	85.0	56.429000000000002	66.0	8.0	6.4290000000000003	101.446	8.7989999999999995	5.8410000000000002	6.8319999999999999	0.82799999999999996	0.82799999999999996	1.5700000000000001	NULL		NULL		NULL		NULL		27826.0	2078.0	NULL	2.8799999999999999	0.16900000000000001	28.922000000000001	0.035000000000000003	"tests performed"	76.849999999999994
"2020-04-10"	1190.0	210.0	81.0	77.0	11.0	7.2859999999999996	123.184	21.738	8.3849999999999998	7.9710000000000001	1.139	1.139	1.6000000000000001	NULL		NULL		NULL		NULL		29948.0	2122.0	NULL	3.1000000000000001	0.17999999999999999	21.481000000000002	0.047	"tests performed"	76.849999999999994
"2020-04-11"	1310.0	120.0	90.286000000000001	85.0	8.0	7.5709999999999997	135.60599999999999	12.422000000000001	9.3460000000000001	8.7989999999999995	0.82799999999999996	0.82799999999999996	1.49	NULL		NULL		NULL		NULL		31961.0	2013.0	NULL	3.3079999999999998	0.185	19.837	0.050000000000000003	"tests performed"	76.849999999999994
"2020-04-12"	1410.0	100.0	96.713999999999999	99.0	14.0	9.2859999999999996	145.95699999999999	10.352	10.010999999999999	10.247999999999999	1.4490000000000001	1.4490000000000001	1.3700000000000001	NULL		NULL		NULL		NULL		33532.0	1571.0	NULL	3.4710000000000001	0.182	18.146000000000001	0.055	"tests performed"	76.849999999999994
