DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-21"	1.0	1.0	NULL		0.0	NULL	11.76	11.76	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-03-22"	2.0	1.0	NULL		0.0	NULL	23.521000000000001	11.76	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-03-23"	2.0	0.0	NULL		0.0	NULL	23.521000000000001	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-03-24"	13.0	11.0	NULL		0.0	NULL	152.88399999999999	129.363	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-03-25"	23.0	10.0	NULL		0.0	NULL	270.48599999999999	117.60299999999999	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-03-26"	23.0	0.0	NULL		0.0	NULL	270.48599999999999	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-03-27"	26.0	3.0	3.714	NULL	0.0	0.0	305.767	35.280999999999999	43.680999999999997	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-03-28"	29.0	3.0	4.0	NULL	0.0	0.0	341.048	35.280999999999999	47.040999999999997	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-03-29"	32.0	3.0	4.2859999999999996	NULL	0.0	0.0	376.32900000000001	35.280999999999999	50.401000000000003	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-03-30"	42.0	10.0	5.7140000000000004	NULL	0.0	0.0	493.93200000000002	117.60299999999999	67.201999999999998	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-03-31"	42.0	0.0	4.1429999999999998	NULL	0.0	0.0	493.93200000000002	0.0	48.720999999999997	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-01"	52.0	10.0	4.1429999999999998	NULL	0.0	0.0	611.53399999999999	117.60299999999999	48.720999999999997	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-02"	65.0	13.0	6.0	NULL	0.0	0.0	764.41800000000001	152.88399999999999	70.561999999999998	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-03"	71.0	6.0	6.4290000000000003	1.0	1.0	0.14299999999999999	834.98000000000002	70.561999999999998	75.602000000000004	11.76	11.76	11.76	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-04"	114.0	43.0	12.143000000000001	1.0	0.0	0.14299999999999999	1340.672	505.69200000000001	142.803	11.76	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-05"	126.0	12.0	13.429	1.0	0.0	0.14299999999999999	1481.7950000000001	141.12299999999999	157.92400000000001	11.76	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-06"	127.0	1.0	12.143000000000001	1.0	0.0	0.14299999999999999	1493.5550000000001	11.76	142.803	11.76	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-07"	139.0	12.0	13.856999999999999	1.0	0.0	0.14299999999999999	1634.6790000000001	141.12299999999999	162.964	11.76	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-08"	150.0	11.0	14.0	1.0	0.0	0.14299999999999999	1764.0419999999999	129.363	164.64400000000001	11.76	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-09"	158.0	8.0	13.286	1.0	0.0	0.14299999999999999	1858.124	94.081999999999994	156.244	11.76	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-10"	190.0	32.0	17.0	1.0	0.0	0.0	2234.453	376.32900000000001	199.92500000000001	11.76	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-11"	201.0	11.0	12.429	1.0	0.0	0.0	2363.8159999999998	129.363	146.16300000000001	11.76	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-04-12"	226.0	25.0	14.286	1.0	0.0	0.0	2657.8229999999999	294.00700000000001	168.00399999999999	11.76	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
