DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-06"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	31.0	NULL		0.001	NULL		NULL	"samples tested"	13.890000000000001
"2020-03-07"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	13.890000000000001
"2020-03-08"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	13.890000000000001
"2020-03-09"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	13.890000000000001
"2020-03-10"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	13.890000000000001
"2020-03-11"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	13.890000000000001
"2020-03-12"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	13.890000000000001
"2020-03-13"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"samples tested"	36.109999999999999
"2020-03-14"	1.0	1.0	NULL		0.0	NULL	0.019	0.019	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"samples tested"	36.109999999999999
"2020-03-15"	1.0	0.0	NULL		0.0	NULL	0.019	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"samples tested"	50.93
"2020-03-16"	3.0	2.0	NULL		0.0	NULL	0.056000000000000001	0.036999999999999998	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"samples tested"	50.93
"2020-03-17"	3.0	0.0	NULL		0.0	NULL	0.056000000000000001	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	111.0	NULL		0.002	0.0	NULL		"samples tested"	59.259999999999998
"2020-03-18"	4.0	1.0	NULL		0.0	NULL	0.073999999999999996	0.019	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	132.0	21.0	NULL	0.002	0.0	NULL		"samples tested"	59.259999999999998
"2020-03-19"	7.0	3.0	NULL		0.0	NULL	0.13	0.056000000000000001	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	173.0	41.0	NULL	0.0030000000000000001	0.0	NULL		"samples tested"	59.259999999999998
"2020-03-20"	7.0	0.0	1.0	NULL	0.0	0.0	0.13	0.0	0.019	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"samples tested"	64.810000000000002
"2020-03-21"	7.0	0.0	0.85699999999999998	NULL	0.0	0.0	0.13	0.0	0.016	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.001	33.832999999999998	0.029999999999999999	"samples tested"	64.810000000000002
"2020-03-22"	7.0	0.0	0.85699999999999998	NULL	0.0	0.0	0.13	0.0	0.016	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.001	43.167000000000002	0.023	"samples tested"	64.810000000000002
"2020-03-23"	15.0	8.0	1.714	NULL	0.0	0.0	0.27900000000000003	0.14899999999999999	0.032000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.001	26.25	0.037999999999999999	"samples tested"	64.810000000000002
"2020-03-24"	16.0	1.0	1.857	NULL	0.0	0.0	0.29799999999999999	0.019	0.035000000000000003	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.001	28.0	0.035999999999999997	"samples tested"	68.519999999999996
"2020-03-25"	25.0	9.0	3.0	NULL	0.0	0.0	0.46500000000000002	0.16700000000000001	0.056000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.001	19.332999999999998	0.051999999999999998	"samples tested"	68.519999999999996
"2020-03-26"	25.0	0.0	2.5710000000000002	NULL	0.0	0.0	0.46500000000000002	0.0	0.048000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	600.0	NULL		0.010999999999999999	0.001	23.722000000000001	0.042000000000000003	"samples tested"	68.519999999999996
"2020-03-27"	31.0	6.0	3.4289999999999998	1.0	1.0	0.14299999999999999	0.57699999999999996	0.112	0.064000000000000001	0.019	0.019	0.019	NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.001	20.125	0.050000000000000003	"samples tested"	87.040000000000006
"2020-03-28"	31.0	0.0	3.4289999999999998	1.0	0.0	0.14299999999999999	0.57699999999999996	0.0	0.064000000000000001	0.019	0.0	0.0	NULL		NULL		NULL		NULL		NULL	833.0	NULL		0.014999999999999999	0.001	22.457999999999998	0.044999999999999998	"samples tested"	87.040000000000006
"2020-03-29"	38.0	7.0	4.4290000000000003	1.0	0.0	0.14299999999999999	0.70699999999999996	0.13	0.082000000000000003	0.019	0.0	0.0	NULL		NULL		NULL		NULL		NULL	902.0	69.0	NULL	0.017000000000000001	0.001	17.613	0.057000000000000002	"samples tested"	87.040000000000006
"2020-03-30"	42.0	4.0	3.8570000000000002	1.0	0.0	0.14299999999999999	0.78100000000000003	0.073999999999999996	0.071999999999999995	0.019	0.0	0.0	NULL		NULL		NULL		NULL		NULL	1074.0	172.0	NULL	0.02	0.002	24.370000000000001	0.041000000000000002	"samples tested"	87.040000000000006
"2020-03-31"	50.0	8.0	4.8570000000000002	1.0	0.0	0.14299999999999999	0.93000000000000005	0.14899999999999999	0.089999999999999997	0.019	0.0	0.0	NULL		NULL		NULL		NULL		NULL	1308.0	234.0	NULL	0.024	0.002	24.5	0.041000000000000002	"samples tested"	87.040000000000006
"2020-04-01"	59.0	9.0	4.8570000000000002	1.0	0.0	0.14299999999999999	1.097	0.16700000000000001	0.089999999999999997	0.019	0.0	0.0	NULL		NULL		NULL		NULL		NULL	1688.0	380.0	NULL	0.031	0.0030000000000000001	33.765000000000001	0.029999999999999999	"samples tested"	87.040000000000006
"2020-04-02"	81.0	22.0	8.0	1.0	0.0	0.14299999999999999	1.506	0.40899999999999997	0.14899999999999999	0.019	0.0	0.0	NULL		NULL		NULL		NULL		NULL	2350.0	662.0	NULL	0.043999999999999997	0.0050000000000000001	31.25	0.032000000000000001	"samples tested"	87.040000000000006
"2020-04-03"	110.0	29.0	11.286	3.0	2.0	0.28599999999999998	2.0459999999999998	0.53900000000000003	0.20999999999999999	0.056000000000000001	0.036999999999999998	0.036999999999999998	0.81999999999999995	NULL		NULL		NULL		NULL		2712.0	362.0	NULL	0.050000000000000003	0.0050000000000000001	25.253	0.040000000000000001	"samples tested"	87.040000000000006
"2020-04-04"	122.0	12.0	13.0	4.0	1.0	0.42899999999999999	2.2690000000000001	0.223	0.24199999999999999	0.073999999999999996	0.019	0.019	0.81999999999999995	NULL		NULL		NULL		NULL		3084.0	372.0	NULL	0.057000000000000002	0.0060000000000000001	24.768999999999998	0.040000000000000001	"samples tested"	87.040000000000006
"2020-04-05"	126.0	4.0	12.571	4.0	0.0	0.42899999999999999	2.343	0.073999999999999996	0.23400000000000001	0.073999999999999996	0.0	0.0	0.82999999999999996	NULL		NULL		NULL		NULL		3614.0	530.0	NULL	0.067000000000000004	0.0070000000000000001	30.783999999999999	0.032000000000000001	"samples tested"	87.040000000000006
"2020-04-06"	142.0	16.0	14.286	4.0	0.0	0.42899999999999999	2.641	0.29799999999999999	0.26600000000000001	0.073999999999999996	0.0	0.0	0.82999999999999996	NULL		NULL		NULL		NULL		4277.0	663.0	NULL	0.080000000000000002	0.0089999999999999993	32.060000000000002	0.031	"samples tested"	88.890000000000001
"2020-04-07"	158.0	16.0	15.429	4.0	0.0	0.42899999999999999	2.9380000000000002	0.29799999999999999	0.28699999999999998	0.073999999999999996	0.0	0.0	0.82999999999999996	NULL		NULL		NULL		NULL		4973.0	696.0	NULL	0.091999999999999998	0.01	33.963000000000001	0.029000000000000001	"samples tested"	88.890000000000001
