DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-02-02"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	0.0	NULL		NULL		NULL		NULL		2.7799999999999998
"2020-02-09"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	0.0	NULL		NULL		NULL		NULL		2.7799999999999998
"2020-02-15"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	0.0	NULL		NULL		NULL		NULL		2.7799999999999998
"2020-02-23"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	0.0	NULL		NULL		NULL		NULL		2.7799999999999998
"2020-02-29"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	116.0	116.0	NULL	0.060999999999999999	NULL		NULL	"tests performed"	8.3300000000000001
"2020-03-01"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	0.0	126.0	10.0	NULL	0.067000000000000004	NULL		NULL	"tests performed"	8.3300000000000001
"2020-03-02"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	163.0	37.0	NULL	0.085999999999999993	NULL		NULL	"tests performed"	8.3300000000000001
"2020-03-03"	1.0	1.0	NULL		0.0	NULL	0.53000000000000003	0.53000000000000003	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	204.0	41.0	NULL	0.108	NULL		NULL	"tests performed"	8.3300000000000001
"2020-03-04"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	240.0	36.0	NULL	0.127	NULL		NULL	"tests performed"	8.3300000000000001
"2020-03-05"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	275.0	35.0	NULL	0.14599999999999999	NULL		NULL	"tests performed"	8.3300000000000001
"2020-03-06"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	307.0	32.0	NULL	0.16300000000000001	NULL		NULL	"tests performed"	8.3300000000000001
"2020-03-07"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	321.0	14.0	NULL	0.17000000000000001	0.014999999999999999	NULL		"tests performed"	8.3300000000000001
"2020-03-08"	2.0	1.0	NULL		0.0	NULL	1.0600000000000001	0.53000000000000003	NULL		0.0	0.0	NULL		NULL		NULL		NULL	2.9470000000000001	1.5629999999999999	343.0	22.0	NULL	0.182	0.016	NULL		"tests performed"	8.3300000000000001
"2020-03-09"	3.0	1.0	0.42899999999999999	NULL	0.0	0.0	1.5900000000000001	0.53000000000000003	0.22700000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	391.0	48.0	NULL	0.20699999999999999	0.017000000000000001	NULL		"tests performed"	8.3300000000000001
"2020-03-10"	6.0	3.0	0.71399999999999997	NULL	0.0	0.0	3.181	1.5900000000000001	0.379	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	450.0	59.0	NULL	0.23899999999999999	0.019	49.0	0.02	"tests performed"	8.3300000000000001
"2020-03-11"	8.0	2.0	1.0	NULL	0.0	0.0	4.2409999999999997	1.0600000000000001	0.53000000000000003	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	497.0	47.0	NULL	0.26300000000000001	0.02	37.0	0.027	"tests performed"	11.109999999999999
"2020-03-12"	10.0	2.0	1.286	NULL	0.0	0.0	5.3019999999999996	1.0600000000000001	0.68200000000000005	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	576.0	79.0	NULL	0.30499999999999999	0.023	33.444000000000003	0.029999999999999999	"tests performed"	11.109999999999999
"2020-03-13"	16.0	6.0	2.1429999999999998	NULL	0.0	0.0	8.4830000000000005	3.181	1.1359999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	703.0	127.0	NULL	0.373	0.029999999999999999	26.600000000000001	0.037999999999999999	"tests performed"	51.850000000000001
