DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-04"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		3.0	NULL		NULL		NULL	"samples tested"	5.5599999999999996
"2020-03-05"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	5.5599999999999996
"2020-03-06"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	5.5599999999999996
"2020-03-07"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	5.5599999999999996
"2020-03-08"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	5.5599999999999996
"2020-03-09"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	5.5599999999999996
"2020-03-10"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	5.5599999999999996
"2020-03-11"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	5.5599999999999996
"2020-03-12"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	5.5599999999999996
"2020-03-13"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	5.5599999999999996
"2020-03-14"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		1.0	NULL		NULL		NULL	"samples tested"	23.149999999999999
"2020-03-15"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	34.259999999999998
"2020-03-16"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		7.0	NULL		NULL		NULL	"samples tested"	39.810000000000002
"2020-03-17"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		5.0	NULL		NULL		NULL	"samples tested"	39.810000000000002
"2020-03-18"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		7.0	NULL		NULL		NULL	"samples tested"	39.810000000000002
"2020-03-19"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	39.810000000000002
"2020-03-20"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		3.0	NULL		NULL		NULL	"samples tested"	39.810000000000002
"2020-03-21"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		2.0	NULL		NULL		NULL	"samples tested"	39.810000000000002
"2020-03-22"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		2.0	NULL		NULL		NULL	"samples tested"	77.780000000000001
"2020-03-23"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		1.0	NULL		NULL		NULL	"samples tested"	77.780000000000001
"2020-03-24"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		26.0	NULL		NULL		NULL	"samples tested"	90.739999999999995
"2020-03-25"	1.0	1.0	NULL		0.0	NULL	0.14599999999999999	0.14599999999999999	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		29.0	NULL		NULL		NULL	"samples tested"	90.739999999999995
"2020-03-26"	1.0	0.0	NULL		0.0	NULL	0.14599999999999999	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	90.739999999999995
"2020-03-27"	1.0	0.0	NULL		0.0	NULL	0.14599999999999999	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		5.0	NULL		NULL		NULL	"samples tested"	90.739999999999995
"2020-03-28"	1.0	0.0	NULL		0.0	NULL	0.14599999999999999	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		16.0	NULL		NULL		NULL	"samples tested"	90.739999999999995
"2020-03-29"	1.0	0.0	NULL		0.0	NULL	0.14599999999999999	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	90.739999999999995
"2020-03-30"	8.0	7.0	NULL		0.0	NULL	1.1639999999999999	1.0189999999999999	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		9.0	NULL		NULL		NULL	"samples tested"	90.739999999999995
"2020-03-31"	8.0	0.0	1.143	NULL	0.0	0.0	1.1639999999999999	0.0	0.16600000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	90.739999999999995
"2020-04-01"	10.0	2.0	1.286	NULL	0.0	0.0	1.4550000000000001	0.29099999999999998	0.187	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		14.0	NULL		NULL		NULL	"samples tested"	90.739999999999995
"2020-04-02"	10.0	0.0	1.286	NULL	0.0	0.0	1.4550000000000001	0.0	0.187	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	90.739999999999995
"2020-04-03"	11.0	1.0	1.429	1.0	1.0	0.14299999999999999	1.601	0.14599999999999999	0.20799999999999999	0.14599999999999999	0.14599999999999999	0.14599999999999999	NULL		NULL		NULL		NULL		NULL		14.0	NULL		NULL		NULL	"samples tested"	90.739999999999995
"2020-04-04"	11.0	0.0	1.429	1.0	0.0	0.14299999999999999	1.601	0.0	0.20799999999999999	0.14599999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		30.0	NULL		NULL		NULL	"samples tested"	90.739999999999995
"2020-04-05"	18.0	7.0	2.4289999999999998	1.0	0.0	0.14299999999999999	2.6200000000000001	1.0189999999999999	0.35299999999999998	0.14599999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		18.0	NULL		NULL		NULL	"samples tested"	90.739999999999995
"2020-04-06"	18.0	0.0	1.429	1.0	0.0	0.14299999999999999	2.6200000000000001	0.0	0.20799999999999999	0.14599999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		13.0	NULL		NULL		NULL	"samples tested"	90.739999999999995
"2020-04-07"	18.0	0.0	1.429	1.0	0.0	0.14299999999999999	2.6200000000000001	0.0	0.20799999999999999	0.14599999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		27.0	NULL		NULL		NULL	"samples tested"	90.739999999999995
"2020-04-08"	19.0	1.0	1.286	1.0	0.0	0.14299999999999999	2.7650000000000001	0.14599999999999999	0.187	0.14599999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		19.0	NULL		NULL		NULL	"samples tested"	88.890000000000001
"2020-04-09"	21.0	2.0	1.571	1.0	0.0	0.14299999999999999	3.056	0.29099999999999998	0.22900000000000001	0.14599999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		116.0	NULL		0.0050000000000000001	21.635999999999999	0.045999999999999999	"samples tested"	88.890000000000001
"2020-04-10"	24.0	3.0	1.857	1.0	0.0	0.0	3.4929999999999999	0.437	0.27000000000000002	0.14599999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		15.0	NULL		0.0050000000000000001	18.308	0.055	"samples tested"	88.890000000000001
"2020-04-11"	24.0	0.0	1.857	1.0	0.0	0.0	3.4929999999999999	0.0	0.27000000000000002	0.14599999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		16.0	NULL		0.0050000000000000001	17.231000000000002	0.058000000000000003	"samples tested"	88.890000000000001
"2020-04-12"	25.0	1.0	1.0	1.0	0.0	0.0	3.6379999999999999	0.14599999999999999	0.14599999999999999	0.14599999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		11.0	NULL		0.0050000000000000001	31.0	0.032000000000000001	"samples tested"	88.890000000000001
"2020-04-13"	25.0	0.0	1.0	1.0	0.0	0.0	3.6379999999999999	0.0	0.14599999999999999	0.14599999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		9.0	NULL		0.0040000000000000001	30.0	0.033000000000000002	"samples tested"	88.890000000000001
"2020-04-14"	26.0	1.0	1.143	1.0	0.0	0.0	3.7839999999999998	0.14599999999999999	0.16600000000000001	0.14599999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		16.0	NULL		0.0040000000000000001	25.375	0.039	"samples tested"	88.890000000000001
"2020-04-15"	35.0	9.0	2.286	1.0	0.0	0.0	5.0940000000000003	1.3100000000000001	0.33300000000000002	0.14599999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		49.0	NULL		0.0050000000000000001	14.438000000000001	0.069000000000000006	"samples tested"	88.890000000000001
"2020-04-16"	48.0	13.0	3.8570000000000002	1.0	0.0	0.0	6.9859999999999998	1.8919999999999999	0.56100000000000005	0.14599999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		64.0	NULL		0.0040000000000000001	6.7409999999999997	0.14799999999999999	"samples tested"	96.299999999999997
"2020-04-17"	49.0	1.0	3.5710000000000002	1.0	0.0	0.0	7.1310000000000002	0.14599999999999999	0.52000000000000002	0.14599999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		64.0	NULL		0.0050000000000000001	9.2400000000000002	0.108	"samples tested"	100.0
"2020-04-18"	49.0	0.0	3.5710000000000002	1.0	0.0	0.0	7.1310000000000002	0.0	0.52000000000000002	0.14599999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		8.0	NULL		0.0050000000000000001	8.9600000000000009	0.112	"samples tested"	100.0
"2020-04-19"	49.0	0.0	3.4289999999999998	1.0	0.0	0.0	7.1310000000000002	0.0	0.499	0.14599999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		25.0	NULL		0.0050000000000000001	9.9169999999999998	0.10100000000000001	"samples tested"	100.0
"2020-04-20"	49.0	0.0	3.4289999999999998	1.0	0.0	0.0	7.1310000000000002	0.0	0.499	0.14599999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		58.0	NULL		0.0060000000000000001	11.958	0.084000000000000005	"samples tested"	100.0
"2020-04-21"	51.0	2.0	3.5710000000000002	1.0	0.0	0.0	7.4219999999999997	0.29099999999999998	0.52000000000000002	0.14599999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		83.0	NULL		0.0070000000000000001	14.0	0.070999999999999994	"samples tested"	100.0
"2020-04-22"	51.0	0.0	2.286	1.0	0.0	0.0	7.4219999999999997	0.0	0.33300000000000002	0.14599999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		97.0	NULL		0.0080000000000000002	24.937999999999999	0.040000000000000001	"samples tested"	100.0
"2020-04-23"	59.0	8.0	1.571	1.0	0.0	0.0	8.5860000000000003	1.1639999999999999	0.22900000000000001	0.14599999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		156.0	NULL		0.01	44.545000000000002	0.021999999999999999	"samples tested"	100.0
"2020-04-24"	60.0	1.0	1.571	2.0	1.0	0.14299999999999999	8.7319999999999993	0.14599999999999999	0.22900000000000001	0.29099999999999998	0.14599999999999999	0.14599999999999999	NULL		NULL		NULL		NULL		NULL		82.0	NULL		0.010999999999999999	46.454999999999998	0.021999999999999999	"samples tested"	100.0
"2020-04-25"	61.0	1.0	1.714	2.0	0.0	0.14299999999999999	8.8780000000000001	0.14599999999999999	0.249	0.29099999999999998	0.0	0.0	NULL		NULL		NULL		NULL		NULL		42.0	NULL		0.010999999999999999	45.5	0.021999999999999999	"samples tested"	100.0
"2020-04-26"	61.0	0.0	1.714	2.0	0.0	0.14299999999999999	8.8780000000000001	0.0	0.249	0.29099999999999998	0.0	0.0	NULL		NULL		NULL		NULL		NULL		162.0	NULL		0.014	56.582999999999998	0.017999999999999999	"samples tested"	100.0
"2020-04-27"	61.0	0.0	1.714	2.0	0.0	0.14299999999999999	8.8780000000000001	0.0	0.249	0.29099999999999998	0.0	0.0	NULL		NULL		NULL		NULL		NULL		82.0	NULL		0.014999999999999999	58.917000000000002	0.017000000000000001	"samples tested"	100.0
"2020-04-28"	61.0	0.0	1.429	2.0	0.0	0.14299999999999999	8.8780000000000001	0.0	0.20799999999999999	0.29099999999999998	0.0	0.0	NULL		NULL		NULL		NULL		NULL		97.0	NULL		0.014999999999999999	72.099999999999994	0.014	"samples tested"	100.0
"2020-04-29"	61.0	0.0	1.429	2.0	0.0	0.14299999999999999	8.8780000000000001	0.0	0.20799999999999999	0.29099999999999998	0.0	0.0	NULL		NULL		NULL		NULL		NULL		55.0	NULL		0.014	67.900000000000006	0.014999999999999999	"samples tested"	100.0
"2020-04-30"	61.0	0.0	0.28599999999999998	2.0	0.0	0.14299999999999999	8.8780000000000001	0.0	0.042000000000000003	0.29099999999999998	0.0	0.0	NULL		NULL		NULL		NULL		NULL		92.0	NULL		0.012999999999999999	304.5	0.0030000000000000001	"samples tested"	100.0
"2020-05-01"	61.0	0.0	0.14299999999999999	3.0	1.0	0.14299999999999999	8.8780000000000001	0.0	0.021000000000000001	0.437	0.14599999999999999	0.14599999999999999	NULL		NULL		NULL		NULL		NULL		148.0	NULL		0.014	679.0	0.001	"samples tested"	100.0
"2020-05-02"	63.0	2.0	0.28599999999999998	3.0	0.0	0.14299999999999999	9.1690000000000005	0.29099999999999998	0.042000000000000003	0.437	0.0	0.0	NULL		NULL		NULL		NULL		NULL		58.0	NULL		0.014	346.5	0.0030000000000000001	"samples tested"	100.0
"2020-05-03"	63.0	0.0	0.28599999999999998	3.0	0.0	0.14299999999999999	9.1690000000000005	0.0	0.042000000000000003	0.437	0.0	0.0	NULL		NULL		NULL		NULL		NULL		47.0	NULL		0.012	290.5	0.0030000000000000001	"samples tested"	100.0
"2020-05-04"	63.0	0.0	0.28599999999999998	3.0	0.0	0.14299999999999999	9.1690000000000005	0.0	0.042000000000000003	0.437	0.0	0.0	NULL		NULL		NULL		NULL		NULL		136.0	NULL		0.012999999999999999	315.0	0.0030000000000000001	"samples tested"	100.0
"2020-05-05"	63.0	0.0	0.28599999999999998	3.0	0.0	0.14299999999999999	9.1690000000000005	0.0	0.042000000000000003	0.437	0.0	0.0	NULL		NULL		NULL		NULL		NULL		168.0	NULL		0.014999999999999999	353.5	0.0030000000000000001	"samples tested"	100.0
"2020-05-06"	63.0	0.0	0.28599999999999998	3.0	0.0	0.14299999999999999	9.1690000000000005	0.0	0.042000000000000003	0.437	0.0	0.0	NULL		NULL		NULL		NULL		NULL		254.0	NULL		0.019	451.5	0.002	"samples tested"	100.0
"2020-05-07"	64.0	1.0	0.42899999999999999	3.0	0.0	0.14299999999999999	9.3140000000000001	0.14599999999999999	0.062	0.437	0.0	0.0	NULL		NULL		NULL		NULL		NULL		68.0	NULL		0.017999999999999999	294.0	0.0030000000000000001	"samples tested"	100.0
"2020-05-08"	64.0	0.0	0.42899999999999999	3.0	0.0	0.0	9.3140000000000001	0.0	0.062	0.437	0.0	0.0	NULL		NULL		NULL		NULL		NULL		144.0	NULL		0.017999999999999999	291.66699999999997	0.0030000000000000001	"samples tested"	100.0
"2020-05-09"	64.0	0.0	0.14299999999999999	3.0	0.0	0.0	9.3140000000000001	0.0	0.021000000000000001	0.437	0.0	0.0	NULL		NULL		NULL		NULL		NULL		121.0	NULL		0.02	938.0	0.001	"samples tested"	100.0
"2020-05-10"	64.0	0.0	0.14299999999999999	3.0	0.0	0.0	9.3140000000000001	0.0	0.021000000000000001	0.437	0.0	0.0	NULL		NULL		NULL		NULL		NULL		77.0	NULL		0.02	966.0	0.001	"samples tested"	100.0
"2020-05-11"	64.0	0.0	0.14299999999999999	3.0	0.0	0.0	9.3140000000000001	0.0	0.021000000000000001	0.437	0.0	0.0	NULL		NULL		NULL		NULL		NULL		83.0	NULL		0.019	917.0	0.001	"samples tested"	100.0
"2020-05-12"	64.0	0.0	0.14299999999999999	3.0	0.0	0.0	9.3140000000000001	0.0	0.021000000000000001	0.437	0.0	0.0	NULL		NULL		NULL		NULL		NULL		100.0	NULL		0.017999999999999999	847.0	0.001	"samples tested"	100.0
