DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-29"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	18.0	NULL		0.001	NULL		NULL	"samples tested"	52.780000000000001
"2020-03-30"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	35.0	17.0	NULL	0.002	NULL		NULL	"samples tested"	52.780000000000001
"2020-03-31"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	52.780000000000001
"2020-04-01"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	86.0	NULL		0.0040000000000000001	NULL		NULL	"samples tested"	52.780000000000001
"2020-04-02"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	88.0	2.0	NULL	0.0050000000000000001	NULL		NULL	"samples tested"	52.780000000000001
"2020-04-03"	3.0	3.0	NULL		0.0	NULL	0.157	0.157	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	93.0	5.0	NULL	0.0050000000000000001	NULL		NULL	"samples tested"	52.780000000000001
"2020-04-04"	3.0	0.0	NULL		0.0	NULL	0.157	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	122.0	29.0	NULL	0.0060000000000000001	NULL		NULL	"samples tested"	56.479999999999997
"2020-04-05"	4.0	1.0	NULL		0.0	NULL	0.20899999999999999	0.051999999999999998	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	123.0	1.0	NULL	0.0060000000000000001	0.001	NULL		"samples tested"	56.479999999999997
"2020-04-06"	4.0	0.0	NULL		0.0	NULL	0.20899999999999999	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	143.0	20.0	NULL	0.0070000000000000001	0.001	NULL		"samples tested"	56.479999999999997
"2020-04-07"	5.0	1.0	NULL		0.0	NULL	0.26100000000000001	0.051999999999999998	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	145.0	2.0	NULL	0.0080000000000000002	0.001	NULL		"samples tested"	56.479999999999997
