DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-26"	2.0	2.0	NULL		0.0	NULL	0.099000000000000005	0.099000000000000005	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	72.219999999999999
"2020-03-27"	4.0	2.0	NULL		0.0	NULL	0.19800000000000001	0.099000000000000005	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	72.219999999999999
"2020-03-28"	4.0	0.0	NULL		0.0	NULL	0.19800000000000001	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	72.219999999999999
"2020-03-29"	9.0	5.0	NULL		0.0	NULL	0.44400000000000001	0.247	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	72.219999999999999
"2020-03-30"	18.0	9.0	NULL		0.0	NULL	0.88900000000000001	0.44400000000000001	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	72.219999999999999
"2020-03-31"	18.0	0.0	NULL		0.0	NULL	0.88900000000000001	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	72.219999999999999
"2020-04-01"	18.0	0.0	2.5710000000000002	1.0	1.0	0.14299999999999999	0.88900000000000001	0.0	0.127	0.049000000000000002	0.049000000000000002	0.049000000000000002	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	72.219999999999999
"2020-04-02"	28.0	10.0	3.714	1.0	0.0	0.14299999999999999	1.383	0.49399999999999999	0.183	0.049000000000000002	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	72.219999999999999
"2020-04-03"	36.0	8.0	4.5709999999999997	3.0	2.0	0.42899999999999999	1.778	0.39500000000000002	0.22600000000000001	0.14799999999999999	0.099000000000000005	0.099000000000000005	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	72.219999999999999
"2020-04-04"	39.0	3.0	5.0	3.0	0.0	0.42899999999999999	1.9259999999999999	0.14799999999999999	0.247	0.14799999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	72.219999999999999
