DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-02-06"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	1.0	1.0	NULL	0.002	NULL		NULL	"tests performed"	
"2020-02-07"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"tests performed"	
"2020-02-08"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"tests performed"	
"2020-02-09"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"tests performed"	
"2020-02-10"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"tests performed"	
"2020-02-11"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"tests performed"	
"2020-02-12"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"tests performed"	
"2020-02-13"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"tests performed"	
"2020-02-14"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"tests performed"	
"2020-02-15"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"tests performed"	
"2020-02-16"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"tests performed"	
"2020-02-17"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"tests performed"	
"2020-02-18"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"tests performed"	
"2020-02-19"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"tests performed"	
"2020-02-20"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"tests performed"	
"2020-02-21"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"tests performed"	
"2020-02-22"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	2.0	1.0	NULL	0.0050000000000000001	0.0	NULL		"tests performed"	
"2020-02-23"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0070000000000000001	NULL		"tests performed"	
"2020-02-24"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	46.0	44.0	NULL	0.104	0.014	NULL		"tests performed"	
"2020-02-25"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	75.0	29.0	NULL	0.17000000000000001	0.023	NULL		"tests performed"	
"2020-02-26"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	125.0	50.0	NULL	0.28299999999999997	0.041000000000000002	NULL		"tests performed"	
"2020-02-27"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	139.0	14.0	NULL	0.315	0.044999999999999998	NULL		"tests performed"	
"2020-02-28"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	149.0	10.0	NULL	0.33700000000000002	0.048000000000000001	NULL		"tests performed"	
"2020-02-29"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	156.0	7.0	NULL	0.35299999999999998	0.050000000000000003	NULL		"tests performed"	
"2020-03-01"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	164.0	8.0	NULL	0.371	0.044999999999999998	NULL		"tests performed"	
"2020-03-02"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	169.0	5.0	NULL	0.38300000000000001	0.041000000000000002	NULL		"tests performed"	
"2020-03-03"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	191.0	22.0	NULL	0.433	0.039	NULL		"tests performed"	
"2020-03-04"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	233.0	42.0	NULL	0.52800000000000002	0.034000000000000002	NULL		"tests performed"	
"2020-03-05"	NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	0.0	NULL		NULL		NULL		264.0	31.0	NULL	0.59799999999999998	0.041000000000000002	NULL		"tests performed"	
"2020-03-06"	NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	0.0	NULL		NULL		NULL		327.0	63.0	NULL	0.74099999999999999	0.057000000000000002	NULL		"tests performed"	
"2020-03-07"	1.0	1.0	NULL		0.0	NULL	2.2650000000000001	2.2650000000000001	NULL		0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		425.0	98.0	NULL	0.96299999999999997	0.085999999999999993	NULL		"tests performed"	
"2020-03-08"	1.0	0.0	NULL		0.0	NULL	2.2650000000000001	0.0	NULL		0.0	0.0	NULL	0.0	0.0	NULL		0.0	0.0	6.2619999999999996	14.183	543.0	118.0	NULL	1.23	0.122	NULL		"tests performed"	
"2020-03-09"	3.0	2.0	NULL		0.0	NULL	6.7939999999999996	4.5300000000000002	NULL		0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		626.0	83.0	NULL	1.4179999999999999	0.14699999999999999	NULL		"tests performed"	
"2020-03-10"	3.0	0.0	NULL		0.0	NULL	6.7939999999999996	0.0	NULL		0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		691.0	65.0	NULL	1.5649999999999999	0.161	NULL		"tests performed"	
"2020-03-11"	5.0	2.0	NULL		0.0	NULL	11.324	4.5300000000000002	NULL		0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		853.0	162.0	NULL	1.9319999999999999	0.20200000000000001	NULL		"tests performed"	
"2020-03-12"	6.0	1.0	NULL		0.0	NULL	13.589	2.2650000000000001	NULL		0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		1041.0	188.0	NULL	2.3580000000000001	0.251	NULL		"tests performed"	
"2020-03-13"	7.0	1.0	1.0	NULL	0.0	0.0	15.853999999999999	2.2650000000000001	2.2650000000000001	NULL	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		1189.0	148.0	NULL	2.6930000000000001	0.27900000000000003	NULL		"tests performed"	
"2020-03-14"	8.0	1.0	1.0	NULL	0.0	0.0	18.117999999999999	2.2650000000000001	2.2650000000000001	NULL	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		1343.0	154.0	NULL	3.0419999999999998	0.29699999999999999	131.0	0.0080000000000000002	"tests performed"	
"2020-03-15"	18.0	10.0	2.4289999999999998	NULL	0.0	0.0	40.767000000000003	22.648	5.5	NULL	0.0	0.0	NULL	0.0	0.0	NULL		2.6840000000000002	6.0780000000000003	7.157	16.209	1473.0	130.0	NULL	3.3359999999999999	0.30099999999999999	54.765000000000001	0.017999999999999999	"tests performed"	
