DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2019-12-31"	NULL	0.0	NULL		0.0	NULL		0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	
"2020-01-01"	NULL	0.0	NULL		0.0	NULL		0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	25.0	25.0	NULL	0.0	NULL		NULL	"people tested"	0.0
"2020-01-02"	NULL	0.0	NULL		0.0	NULL		0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	97.0	72.0	NULL	0.001	NULL		NULL	"people tested"	0.0
"2020-01-03"	NULL	0.0	NULL		0.0	NULL		0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	186.0	89.0	NULL	0.001	NULL		NULL	"people tested"	0.0
"2020-01-04"	NULL	0.0	NULL		0.0	NULL		0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	231.0	45.0	NULL	0.002	NULL		NULL	"people tested"	0.0
"2020-01-05"	NULL	0.0	NULL		0.0	NULL		0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	312.0	81.0	NULL	0.002	NULL		NULL	"people tested"	0.0
"2020-01-06"	NULL	0.0	0.0	NULL	0.0	0.0	NULL	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	479.0	167.0	NULL	0.0040000000000000001	NULL		NULL	"people tested"	0.0
"2020-01-07"	NULL	0.0	0.0	NULL	0.0	0.0	NULL	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	666.0	187.0	NULL	0.0050000000000000001	NULL		NULL	"people tested"	0.0
"2020-01-08"	NULL	0.0	0.0	NULL	0.0	0.0	NULL	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	835.0	169.0	NULL	0.0060000000000000001	0.001	NULL		"people tested"	0.0
"2020-01-09"	NULL	0.0	0.0	NULL	0.0	0.0	NULL	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	1025.0	190.0	NULL	0.0080000000000000002	0.001	NULL		"people tested"	0.0
"2020-01-10"	NULL	0.0	0.0	NULL	0.0	0.0	NULL	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	1174.0	149.0	NULL	0.0089999999999999993	0.001	NULL		"people tested"	0.0
"2020-01-11"	NULL	0.0	0.0	NULL	0.0	0.0	NULL	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	1219.0	45.0	NULL	0.0089999999999999993	0.001	NULL		"people tested"	0.0
"2020-01-12"	NULL	0.0	0.0	NULL	0.0	0.0	NULL	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	1349.0	130.0	NULL	0.01	0.001	NULL		"people tested"	0.0
"2020-01-13"	NULL	0.0	0.0	NULL	0.0	0.0	NULL	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	1576.0	227.0	NULL	0.012	0.001	NULL		"people tested"	0.0
"2020-01-14"	1.0	1.0	0.14299999999999999	NULL	0.0	0.0	0.0080000000000000002	0.0080000000000000002	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	1816.0	240.0	NULL	0.014	0.001	NULL		"people tested"	0.0
"2020-01-15"	1.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.0080000000000000002	0.0	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	2082.0	266.0	NULL	0.016	0.001	NULL		"people tested"	0.0
"2020-01-16"	1.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.0080000000000000002	0.0	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	2314.0	232.0	NULL	0.017999999999999999	0.001	NULL		"people tested"	0.0
"2020-01-17"	1.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.0080000000000000002	0.0	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	2500.0	186.0	NULL	0.019	0.001	NULL		"people tested"	0.0
"2020-01-18"	1.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.0080000000000000002	0.0	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	2569.0	69.0	NULL	0.02	0.001	NULL		"people tested"	0.0
"2020-01-19"	1.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.0080000000000000002	0.0	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	2692.0	123.0	NULL	0.021000000000000001	0.001	NULL		"people tested"	0.0
"2020-01-20"	1.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.0080000000000000002	0.0	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	2985.0	293.0	NULL	0.023	0.002	NULL		"people tested"	0.0
"2020-01-21"	1.0	0.0	0.0	NULL	0.0	0.0	0.0080000000000000002	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	3261.0	276.0	NULL	0.025000000000000001	0.002	NULL	0.0	"people tested"	0.0
"2020-01-22"	1.0	0.0	0.0	NULL	0.0	0.0	0.0080000000000000002	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	3554.0	293.0	NULL	0.028000000000000001	0.002	NULL	0.0	"people tested"	0.0
"2020-01-23"	1.0	0.0	0.0	NULL	0.0	0.0	0.0080000000000000002	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	3821.0	267.0	NULL	0.029999999999999999	0.002	NULL	0.0	"people tested"	0.0
"2020-01-24"	1.0	0.0	0.0	NULL	0.0	0.0	0.0080000000000000002	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	4032.0	211.0	NULL	0.031	0.002	NULL	0.0	"people tested"	0.0
"2020-01-25"	1.0	0.0	0.0	NULL	0.0	0.0	0.0080000000000000002	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	4137.0	105.0	NULL	0.032000000000000001	0.002	NULL	0.0	"people tested"	0.0
"2020-01-26"	1.0	0.0	0.0	NULL	0.0	0.0	0.0080000000000000002	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	4297.0	160.0	NULL	0.033000000000000002	0.002	NULL	0.0	"people tested"	0.0
"2020-01-27"	1.0	0.0	0.0	NULL	0.0	0.0	0.0080000000000000002	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	4579.0	282.0	NULL	0.035999999999999997	0.002	NULL	0.0	"people tested"	0.0
"2020-01-28"	1.0	0.0	0.0	NULL	0.0	0.0	0.0080000000000000002	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	4824.0	245.0	NULL	0.036999999999999998	0.002	NULL	0.0	"people tested"	0.0
"2020-01-29"	1.0	0.0	0.0	NULL	0.0	0.0	0.0080000000000000002	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	5037.0	213.0	NULL	0.039	0.002	NULL	0.0	"people tested"	0.0
"2020-01-30"	2.0	1.0	0.14299999999999999	NULL	0.0	0.0	0.016	0.0080000000000000002	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	5270.0	233.0	NULL	0.041000000000000002	0.002	1449.0	0.001	"people tested"	0.0
"2020-01-31"	2.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.016	0.0	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	5422.0	152.0	NULL	0.042000000000000003	0.002	1393.0	0.001	"people tested"	0.0
"2020-02-01"	2.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.016	0.0	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	5489.0	67.0	NULL	0.042999999999999997	0.001	1351.0	0.001	"people tested"	0.0
"2020-02-02"	2.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.016	0.0	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	5594.0	105.0	NULL	0.042999999999999997	0.001	1295.0	0.001	"people tested"	0.0
"2020-02-03"	2.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.016	0.0	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	5735.0	141.0	NULL	0.043999999999999997	0.001	1155.0	0.001	"people tested"	0.0
"2020-02-04"	2.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.016	0.0	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	5991.0	256.0	NULL	0.045999999999999999	0.001	1169.0	0.001	"people tested"	0.0
"2020-02-05"	2.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.016	0.0	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	6225.0	234.0	NULL	0.048000000000000001	0.001	1190.0	0.001	"people tested"	0.0
"2020-02-06"	2.0	0.0	0.0	NULL	0.0	0.0	0.016	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	6456.0	231.0	NULL	0.050000000000000003	0.001	NULL	0.0	"people tested"	0.0
"2020-02-07"	2.0	0.0	0.0	NULL	0.0	0.0	0.016	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	6632.0	176.0	NULL	0.050999999999999997	0.001	NULL	0.0	"people tested"	0.0
"2020-02-08"	2.0	0.0	0.0	NULL	0.0	0.0	0.016	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	6700.0	68.0	NULL	0.051999999999999998	0.001	NULL	0.0	"people tested"	0.0
"2020-02-09"	2.0	0.0	0.0	NULL	0.0	0.0	0.016	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	6831.0	131.0	NULL	0.052999999999999999	0.001	NULL	0.0	"people tested"	0.0
"2020-02-10"	2.0	0.0	0.0	NULL	0.0	0.0	0.016	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	7162.0	331.0	NULL	0.056000000000000001	0.002	NULL	0.0	"people tested"	0.0
"2020-02-11"	3.0	1.0	0.14299999999999999	NULL	0.0	0.0	0.023	0.0080000000000000002	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	7408.0	246.0	NULL	0.057000000000000002	0.002	1414.0	0.001	"people tested"	0.0
"2020-02-12"	3.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.023	0.0	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	7672.0	264.0	NULL	0.059999999999999998	0.002	1449.0	0.001	"people tested"	0.0
"2020-02-13"	3.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.023	0.0	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	7869.0	197.0	NULL	0.060999999999999999	0.002	1414.0	0.001	"people tested"	0.0
"2020-02-14"	3.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.023	0.0	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	8034.0	165.0	NULL	0.062	0.002	1400.0	0.001	"people tested"	0.0
"2020-02-15"	3.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.023	0.0	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	8110.0	76.0	NULL	0.063	0.002	1407.0	0.001	"people tested"	0.0
"2020-02-16"	3.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.023	0.0	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	8214.0	104.0	NULL	0.064000000000000001	0.002	1386.0	0.001	"people tested"	0.0
"2020-02-17"	3.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.023	0.0	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	8462.0	248.0	NULL	0.066000000000000003	0.001	1302.0	0.001	"people tested"	0.0
"2020-02-18"	3.0	0.0	0.0	NULL	0.0	0.0	0.023	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	8707.0	245.0	NULL	0.068000000000000005	0.001	NULL	0.0	"people tested"	0.0
"2020-02-19"	3.0	0.0	0.0	NULL	0.0	0.0	0.023	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	8888.0	181.0	NULL	0.069000000000000006	0.001	NULL	0.0	"people tested"	0.0
"2020-02-20"	3.0	0.0	0.0	NULL	0.0	0.0	0.023	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	9060.0	172.0	NULL	0.070000000000000007	0.001	NULL	0.0	"people tested"	0.0
"2020-02-21"	3.0	0.0	0.0	NULL	0.0	0.0	0.023	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	9188.0	128.0	NULL	0.070999999999999994	0.001	NULL	0.0	"people tested"	0.0
"2020-02-22"	3.0	0.0	0.0	NULL	0.0	0.0	0.023	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	9239.0	51.0	NULL	0.071999999999999995	0.001	NULL	0.0	"people tested"	0.0
"2020-02-23"	4.0	1.0	0.14299999999999999	NULL	0.0	0.0	0.031	0.0080000000000000002	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	9344.0	105.0	NULL	0.071999999999999995	0.001	1127.0	0.001	"people tested"	0.0
"2020-02-24"	4.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.031	0.0	0.001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	9554.0	210.0	NULL	0.073999999999999996	0.001	1092.0	0.001	"people tested"	0.0
"2020-02-25"	6.0	2.0	0.42899999999999999	NULL	0.0	0.0	0.047	0.016	0.0030000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	9816.0	262.0	NULL	0.075999999999999998	0.001	368.66699999999997	0.0030000000000000001	"people tested"	0.0
"2020-02-26"	6.0	0.0	0.42899999999999999	NULL	0.0	0.0	0.047	0.0	0.0030000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	10020.0	204.0	NULL	0.078	0.001	378.0	0.0030000000000000001	"people tested"	0.0
"2020-02-27"	6.0	0.0	0.42899999999999999	NULL	0.0	0.0	0.047	0.0	0.0030000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	10211.0	191.0	NULL	0.079000000000000001	0.001	382.66699999999997	0.0030000000000000001	"people tested"	0.0
"2020-02-28"	11.0	5.0	1.143	NULL	0.0	0.0	0.085000000000000006	0.039	0.0089999999999999993	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	10426.0	215.0	NULL	0.081000000000000003	0.001	154.875	0.0060000000000000001	"people tested"	2.7799999999999998
"2020-02-29"	14.0	3.0	1.571	NULL	0.0	0.0	0.109	0.023	0.012	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	10506.0	80.0	NULL	0.081000000000000003	0.001	115.182	0.0089999999999999993	"people tested"	2.7799999999999998
"2020-03-01"	15.0	1.0	1.571	NULL	0.0	0.0	0.11600000000000001	0.0080000000000000002	0.012	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	10648.0	142.0	NULL	0.083000000000000004	0.001	118.364	0.0080000000000000002	"people tested"	2.7799999999999998
"2020-03-02"	15.0	0.0	1.571	NULL	0.0	0.0	0.11600000000000001	0.0	0.012	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	10922.0	274.0	NULL	0.085000000000000006	0.002	124.09099999999999	0.0080000000000000002	"people tested"	2.7799999999999998
"2020-03-03"	16.0	1.0	1.429	NULL	0.0	0.0	0.124	0.0080000000000000002	0.010999999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	11199.0	277.0	NULL	0.086999999999999994	0.002	138.59999999999999	0.0070000000000000001	"people tested"	2.7799999999999998
"2020-03-04"	19.0	3.0	1.857	NULL	0.0	0.0	0.14699999999999999	0.023	0.014	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	11427.0	228.0	NULL	0.088999999999999996	0.002	108.23099999999999	0.0089999999999999993	"people tested"	2.7799999999999998
"2020-03-05"	22.0	3.0	2.286	NULL	0.0	0.0	0.17100000000000001	0.023	0.017999999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	11646.0	219.0	NULL	0.089999999999999997	0.002	89.688000000000002	0.010999999999999999	"people tested"	2.7799999999999998
"2020-03-06"	24.0	2.0	1.857	NULL	0.0	0.0	0.186	0.016	0.014	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	11813.0	167.0	NULL	0.091999999999999998	0.002	106.61499999999999	0.0089999999999999993	"people tested"	2.7799999999999998
"2020-03-07"	24.0	0.0	1.429	NULL	0.0	0.0	0.186	0.0	0.010999999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	11883.0	70.0	NULL	0.091999999999999998	0.002	137.90000000000001	0.0070000000000000001	"people tested"	2.7799999999999998
"2020-03-08"	25.0	1.0	1.429	NULL	0.0	0.0	0.19400000000000001	0.0080000000000000002	0.010999999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	11991.0	108.0	NULL	0.092999999999999999	0.001	134.40000000000001	0.0070000000000000001	"people tested"	2.7799999999999998
"2020-03-09"	29.0	4.0	2.0	NULL	0.0	0.0	0.22500000000000001	0.031	0.016	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	12229.0	238.0	NULL	0.095000000000000001	0.001	93.5	0.010999999999999999	"people tested"	2.7799999999999998
"2020-03-10"	31.0	2.0	2.1429999999999998	NULL	0.0	0.0	0.23999999999999999	0.016	0.017000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	12478.0	249.0	NULL	0.097000000000000003	0.001	85.400000000000006	0.012	"people tested"	2.7799999999999998
