DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-08"	1.0	1.0	NULL		0.0	NULL	0.248	0.248	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	11.109999999999999
"2020-03-11"	3.0	2.0	NULL		0.0	NULL	0.74399999999999999	0.496	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	51.850000000000001
"2020-03-12"	4.0	1.0	NULL		0.0	NULL	0.99199999999999999	0.248	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	51.850000000000001
"2020-03-13"	6.0	2.0	NULL		0.0	NULL	1.4870000000000001	0.496	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	51.850000000000001
"2020-03-14"	8.0	2.0	1.143	NULL	0.0	0.0	1.9830000000000001	0.496	0.28299999999999997	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	51.850000000000001
"2020-03-15"	20.0	12.0	2.714	NULL	0.0	0.0	4.9580000000000002	2.9750000000000001	0.67300000000000004	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	51.850000000000001
"2020-03-16"	23.0	3.0	3.1429999999999998	NULL	0.0	0.0	5.702	0.74399999999999999	0.77900000000000003	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	51.850000000000001
"2020-03-17"	29.0	6.0	4.0	NULL	0.0	0.0	7.1890000000000001	1.4870000000000001	0.99199999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	54.630000000000003
"2020-03-18"	30.0	1.0	3.8570000000000002	NULL	0.0	0.0	7.4370000000000003	0.248	0.95599999999999996	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	54.630000000000003
"2020-03-19"	36.0	6.0	4.5709999999999997	1.0	1.0	0.14299999999999999	8.9239999999999995	1.4870000000000001	1.133	0.248	0.248	0.248	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	54.630000000000003
"2020-03-20"	49.0	13.0	6.1429999999999998	1.0	0.0	0.14299999999999999	12.147	3.2229999999999999	1.5229999999999999	0.248	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	54.630000000000003
"2020-03-21"	66.0	17.0	8.2859999999999996	1.0	0.0	0.14299999999999999	16.361000000000001	4.2140000000000004	2.0539999999999998	0.248	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	57.409999999999997
"2020-03-22"	80.0	14.0	8.5709999999999997	1.0	0.0	0.14299999999999999	19.832000000000001	3.4710000000000001	2.125	0.248	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	57.409999999999997
"2020-03-23"	94.0	14.0	10.143000000000001	1.0	0.0	0.14299999999999999	23.302	3.4710000000000001	2.5139999999999998	0.248	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	65.739999999999995
"2020-03-24"	109.0	15.0	11.429	1.0	0.0	0.14299999999999999	27.021000000000001	3.718	2.8330000000000002	0.248	0.0	0.0	1.5800000000000001	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		87.040000000000006
