DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-02-07"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	9.0	NULL		0.0	NULL		NULL	"people tested"	0.0
"2020-02-08"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"people tested"	0.0
"2020-02-09"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"people tested"	0.0
"2020-02-10"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"people tested"	0.0
"2020-02-11"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"people tested"	0.0
"2020-02-12"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"people tested"	0.0
"2020-02-13"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"people tested"	0.0
"2020-02-14"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"people tested"	0.0
"2020-02-15"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	10.0	NULL		0.0	0.0	NULL		"people tested"	0.0
"2020-02-16"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"people tested"	0.0
"2020-02-17"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"people tested"	0.0
"2020-02-18"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"people tested"	0.0
"2020-02-19"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	11.0	NULL		0.0	0.0	NULL		"people tested"	0.0
"2020-02-20"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"people tested"	0.0
"2020-02-21"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"people tested"	0.0
"2020-02-22"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	12.0	NULL		0.0	0.0	NULL		"people tested"	0.0
"2020-02-23"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	13.0	1.0	NULL	0.0	0.0	NULL		"people tested"	0.0
"2020-02-24"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	14.0	1.0	NULL	0.0	0.0	NULL		"people tested"	0.0
"2020-02-25"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	15.0	1.0	NULL	0.0	0.0	NULL		"people tested"	0.0
"2020-02-26"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	17.0	2.0	NULL	0.0	0.0	NULL		"people tested"	0.0
"2020-02-27"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	19.0	2.0	NULL	0.001	0.0	NULL		"people tested"	0.0
"2020-02-28"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"people tested"	0.0
"2020-02-29"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	25.0	NULL		0.001	0.0	NULL		"people tested"	0.0
"2020-03-01"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"people tested"	0.0
"2020-03-02"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	29.0	NULL		0.001	0.0	NULL		"people tested"	0.0
"2020-03-03"	1.0	1.0	NULL		0.0	NULL	0.027	0.027	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	33.0	4.0	NULL	0.001	0.0	NULL		"people tested"	0.0
"2020-03-04"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	35.0	2.0	NULL	0.001	0.0	NULL		"people tested"	5.5599999999999996
"2020-03-05"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	42.0	7.0	NULL	0.001	0.0	NULL		"people tested"	5.5599999999999996
"2020-03-06"	2.0	1.0	NULL		0.0	NULL	0.053999999999999999	0.027	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	52.0	10.0	NULL	0.001	0.0	NULL		"people tested"	5.5599999999999996
"2020-03-07"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	57.0	5.0	NULL	0.002	0.0	NULL		"people tested"	5.5599999999999996
"2020-03-08"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"people tested"	5.5599999999999996
"2020-03-09"	NULL		0.28599999999999998	NULL		0.0	NULL		0.0080000000000000002	NULL		NULL		NULL		NULL		NULL		NULL		62.0	NULL		0.002	0.0	NULL		"people tested"	5.5599999999999996
"2020-03-10"	NULL		0.14299999999999999	NULL		0.0	NULL		0.0040000000000000001	NULL		NULL		NULL		NULL		NULL		NULL		66.0	4.0	NULL	0.002	0.0	35.0	0.029000000000000001	"people tested"	5.5599999999999996
"2020-03-11"	NULL		0.14299999999999999	NULL		0.0	NULL		0.0040000000000000001	NULL		NULL		NULL		NULL		NULL		NULL		84.0	18.0	NULL	0.002	0.0	49.0	0.02	"people tested"	5.5599999999999996
"2020-03-12"	5.0	3.0	0.57099999999999995	1.0	1.0	0.14299999999999999	0.13500000000000001	0.081000000000000003	0.014999999999999999	0.027	0.027	0.027	NULL		NULL		NULL		NULL		NULL	97.0	13.0	NULL	0.0030000000000000001	0.0	14.0	0.070999999999999994	"people tested"	5.5599999999999996
"2020-03-13"	6.0	1.0	0.57099999999999995	1.0	0.0	0.14299999999999999	0.16300000000000001	0.027	0.014999999999999999	0.027	0.0	0.0	NULL		NULL		NULL		NULL		NULL	101.0	4.0	NULL	0.0030000000000000001	0.0	12.25	0.082000000000000003	"people tested"	25.0
"2020-03-14"	7.0	1.0	0.71399999999999997	1.0	0.0	0.14299999999999999	0.19	0.027	0.019	0.027	0.0	0.0	NULL		NULL		NULL		NULL		NULL	130.0	29.0	NULL	0.0040000000000000001	0.0	14.0	0.070999999999999994	"people tested"	44.439999999999998
"2020-03-15"	18.0	11.0	2.286	1.0	0.0	0.14299999999999999	0.48799999999999999	0.29799999999999999	0.062	0.027	0.0	0.0	NULL		NULL		NULL		NULL		NULL	150.0	20.0	NULL	0.0040000000000000001	0.0	5.6879999999999997	0.17599999999999999	"people tested"	44.439999999999998
"2020-03-16"	28.0	10.0	3.714	1.0	0.0	0.14299999999999999	0.75900000000000001	0.27100000000000002	0.10100000000000001	0.027	0.0	0.0	NULL		NULL		NULL		NULL		NULL	189.0	39.0	NULL	0.0050000000000000001	0.0	4.8460000000000001	0.20599999999999999	"people tested"	55.560000000000002
