DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-23"	1.0	1.0	NULL		0.0	NULL	0.032000000000000001	0.032000000000000001	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	47.219999999999999
"2020-03-24"	1.0	0.0	NULL		0.0	NULL	0.032000000000000001	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	47.219999999999999
"2020-03-25"	1.0	0.0	NULL		0.0	NULL	0.032000000000000001	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	47.219999999999999
"2020-03-26"	5.0	4.0	NULL		0.0	NULL	0.16	0.128	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	47.219999999999999
"2020-03-27"	7.0	2.0	NULL		0.0	NULL	0.224	0.064000000000000001	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	47.219999999999999
"2020-03-28"	7.0	0.0	NULL		0.0	NULL	0.224	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	205.0	NULL		0.0070000000000000001	NULL		NULL	"units unclear"	47.219999999999999
"2020-03-29"	8.0	1.0	1.143	NULL	0.0	0.0	0.25600000000000001	0.032000000000000001	0.036999999999999998	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"units unclear"	47.219999999999999
"2020-03-30"	8.0	0.0	1.0	NULL	0.0	0.0	0.25600000000000001	0.0	0.032000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	233.0	NULL		0.0070000000000000001	NULL		NULL	"units unclear"	47.219999999999999
"2020-03-31"	8.0	0.0	1.0	NULL	0.0	0.0	0.25600000000000001	0.0	0.032000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	269.0	36.0	NULL	0.0089999999999999993	NULL		NULL	"units unclear"	47.219999999999999
"2020-04-01"	8.0	0.0	1.0	NULL	0.0	0.0	0.25600000000000001	0.0	0.032000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	288.0	19.0	NULL	0.0089999999999999993	NULL		NULL	"units unclear"	56.479999999999997
"2020-04-02"	10.0	2.0	0.71399999999999997	NULL	0.0	0.0	0.32000000000000001	0.064000000000000001	0.023	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	306.0	18.0	NULL	0.01	NULL		NULL	"units unclear"	56.479999999999997
"2020-04-03"	10.0	0.0	0.42899999999999999	NULL	0.0	0.0	0.32000000000000001	0.0	0.014	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	321.0	15.0	NULL	0.01	NULL		NULL	"units unclear"	56.479999999999997
"2020-04-04"	10.0	0.0	0.42899999999999999	NULL	0.0	0.0	0.32000000000000001	0.0	0.014	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	345.0	24.0	NULL	0.010999999999999999	0.001	46.667000000000002	0.021000000000000001	"units unclear"	56.479999999999997
"2020-04-05"	10.0	0.0	0.28599999999999998	NULL	0.0	0.0	0.32000000000000001	0.0	0.0089999999999999993	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	367.0	22.0	NULL	0.012	0.001	73.5	0.014	"units unclear"	56.479999999999997
"2020-04-06"	10.0	0.0	0.28599999999999998	NULL	0.0	0.0	0.32000000000000001	0.0	0.0089999999999999993	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	371.0	4.0	NULL	0.012	0.001	70.0	0.014	"units unclear"	56.479999999999997
"2020-04-07"	10.0	0.0	0.28599999999999998	NULL	0.0	0.0	0.32000000000000001	0.0	0.0089999999999999993	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	428.0	57.0	NULL	0.014	0.001	80.5	0.012	"units unclear"	56.479999999999997
"2020-04-08"	10.0	0.0	0.28599999999999998	NULL	0.0	0.0	0.32000000000000001	0.0	0.0089999999999999993	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	471.0	43.0	NULL	0.014999999999999999	0.001	91.0	0.010999999999999999	"units unclear"	56.479999999999997
"2020-04-09"	17.0	7.0	1.0	NULL	0.0	0.0	0.54400000000000004	0.224	0.032000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	487.0	16.0	NULL	0.016	0.001	26.0	0.037999999999999999	"units unclear"	56.479999999999997
"2020-04-10"	17.0	0.0	1.0	NULL	0.0	0.0	0.54400000000000004	0.0	0.032000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	541.0	54.0	NULL	0.017000000000000001	0.001	31.0	0.032000000000000001	"units unclear"	56.479999999999997
"2020-04-11"	20.0	3.0	1.429	NULL	0.0	0.0	0.64000000000000001	0.096000000000000002	0.045999999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	551.0	10.0	NULL	0.017999999999999999	0.001	20.300000000000001	0.049000000000000002	"units unclear"	56.479999999999997
"2020-04-12"	20.0	0.0	1.429	NULL	0.0	0.0	0.64000000000000001	0.0	0.045999999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	679.0	128.0	NULL	0.021999999999999999	0.001	31.5	0.032000000000000001	"units unclear"	56.479999999999997
"2020-04-13"	21.0	1.0	1.571	NULL	0.0	0.0	0.67200000000000004	0.032000000000000001	0.050000000000000003	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	683.0	4.0	NULL	0.021999999999999999	0.001	28.635999999999999	0.035000000000000003	"units unclear"	56.479999999999997
"2020-04-14"	27.0	6.0	2.4289999999999998	NULL	0.0	0.0	0.86399999999999999	0.192	0.078	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	762.0	79.0	NULL	0.024	0.002	19.765000000000001	0.050999999999999997	"units unclear"	56.479999999999997
"2020-04-15"	28.0	1.0	2.5710000000000002	NULL	0.0	0.0	0.89600000000000002	0.032000000000000001	0.082000000000000003	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	793.0	31.0	NULL	0.025000000000000001	0.001	17.888999999999999	0.056000000000000001	"units unclear"	56.479999999999997
"2020-04-16"	29.0	1.0	1.714	NULL	0.0	0.0	0.92800000000000005	0.032000000000000001	0.055	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	855.0	62.0	NULL	0.027	0.002	30.917000000000002	0.032000000000000001	"units unclear"	56.479999999999997
"2020-04-17"	31.0	2.0	2.0	NULL	0.0	0.0	0.99199999999999999	0.064000000000000001	0.064000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	898.0	43.0	NULL	0.029000000000000001	0.002	25.5	0.039	"units unclear"	56.479999999999997
