DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-17"	NULL	0.0	NULL		0.0	NULL		0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	36.109999999999999
"2020-03-23"	NULL		0.0	NULL		0.0	NULL		0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		43.520000000000003
"2020-03-24"	2.0	2.0	0.28599999999999998	NULL	0.0	0.0	0.036999999999999998	0.036999999999999998	0.0050000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	47.219999999999999
"2020-03-25"	3.0	1.0	0.42899999999999999	NULL	0.0	0.0	0.055	0.017999999999999999	0.0080000000000000002	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	47.219999999999999
"2020-03-26"	3.0	0.0	0.42899999999999999	NULL	0.0	0.0	0.055	0.0	0.0080000000000000002	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	54.630000000000003
"2020-03-27"	5.0	2.0	0.71399999999999997	NULL	0.0	0.0	0.091999999999999998	0.036999999999999998	0.012999999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	54.630000000000003
"2020-03-28"	5.0	0.0	0.71399999999999997	NULL	0.0	0.0	0.091999999999999998	0.0	0.012999999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	54.630000000000003
"2020-03-29"	8.0	3.0	1.143	NULL	0.0	0.0	0.14699999999999999	0.055	0.021000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	54.630000000000003
"2020-03-30"	8.0	0.0	1.143	NULL	0.0	0.0	0.14699999999999999	0.0	0.021000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	57.409999999999997
"2020-03-31"	14.0	6.0	1.714	NULL	0.0	0.0	0.25700000000000001	0.11	0.032000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	57.409999999999997
"2020-04-01"	15.0	1.0	1.714	1.0	1.0	0.14299999999999999	0.27600000000000002	0.017999999999999999	0.032000000000000001	0.017999999999999999	0.017999999999999999	0.017999999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	65.739999999999995
"2020-04-02"	16.0	1.0	1.857	1.0	0.0	0.14299999999999999	0.29399999999999998	0.017999999999999999	0.034000000000000002	0.017999999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	65.739999999999995
"2020-04-03"	20.0	4.0	2.1429999999999998	1.0	0.0	0.14299999999999999	0.36799999999999999	0.073999999999999996	0.039	0.017999999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL	1183.0	NULL		0.021999999999999999	NULL		NULL	"samples tested"	65.739999999999995
"2020-04-04"	20.0	0.0	2.1429999999999998	1.0	0.0	0.14299999999999999	0.36799999999999999	0.0	0.039	0.017999999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL	1246.0	63.0	NULL	0.023	NULL		NULL	"samples tested"	69.439999999999998
"2020-04-05"	21.0	1.0	1.857	1.0	0.0	0.14299999999999999	0.38600000000000001	0.017999999999999999	0.034000000000000002	0.017999999999999999	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"samples tested"	69.439999999999998
