DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-06"	7.0	7.0	NULL		0.0	NULL	1.3720000000000001	1.3720000000000001	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-03-07"	16.0	9.0	NULL		0.0	NULL	3.1360000000000001	1.764	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-03-08"	19.0	3.0	NULL		0.0	NULL	3.7240000000000002	0.58799999999999997	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-03-10"	20.0	1.0	NULL		0.0	NULL	3.9199999999999999	0.19600000000000001	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-03-11"	29.0	9.0	NULL		0.0	NULL	5.6849999999999996	1.764	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-03-12"	30.0	1.0	4.2859999999999996	NULL	0.0	0.0	5.8810000000000002	0.19600000000000001	0.83999999999999997	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-03-13"	NULL		3.286	NULL		0.0	NULL		0.64400000000000002	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		74.069999999999993
"2020-03-14"	35.0	5.0	2.714	NULL	0.0	0.0	6.8609999999999998	0.97999999999999998	0.53200000000000003	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-03-15"	38.0	3.0	2.714	NULL	0.0	0.0	7.4489999999999998	0.58799999999999997	0.53200000000000003	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-03-16"	38.0	0.0	2.714	NULL	0.0	0.0	7.4489999999999998	0.0	0.53200000000000003	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-03-17"	39.0	1.0	2.714	NULL	0.0	0.0	7.6449999999999996	0.19600000000000001	0.53200000000000003	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-03-18"	41.0	2.0	1.714	NULL	0.0	0.0	8.0370000000000008	0.39200000000000002	0.33600000000000002	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-03-19"	44.0	3.0	2.0	NULL	0.0	0.0	8.625	0.58799999999999997	0.39200000000000002	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-03-20"	47.0	3.0	2.4289999999999998	NULL	0.0	0.0	9.2129999999999992	0.58799999999999997	0.47599999999999998	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-03-21"	48.0	1.0	1.857	NULL	0.0	0.0	9.4090000000000007	0.19600000000000001	0.36399999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-03-22"	52.0	4.0	2.0	NULL	0.0	0.0	10.193	0.78400000000000003	0.39200000000000002	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	96.299999999999997
"2020-03-23"	59.0	7.0	3.0	NULL	0.0	0.0	11.565	1.3720000000000001	0.58799999999999997	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	96.299999999999997
"2020-03-24"	59.0	0.0	2.8570000000000002	NULL	0.0	0.0	11.565	0.0	0.56000000000000005	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	96.299999999999997
"2020-03-25"	60.0	1.0	2.714	NULL	0.0	0.0	11.760999999999999	0.19600000000000001	0.53200000000000003	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	96.299999999999997
"2020-03-26"	62.0	2.0	2.5710000000000002	NULL	0.0	0.0	12.153	0.39200000000000002	0.504	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	96.299999999999997
"2020-03-27"	84.0	22.0	5.2859999999999996	1.0	1.0	0.14299999999999999	16.466000000000001	4.3129999999999997	1.036	0.19600000000000001	0.19600000000000001	0.19600000000000001	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	96.299999999999997
"2020-03-28"	91.0	7.0	6.1429999999999998	1.0	0.0	0.14299999999999999	17.838000000000001	1.3720000000000001	1.204	0.19600000000000001	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	96.299999999999997
"2020-03-29"	97.0	6.0	6.4290000000000003	1.0	0.0	0.14299999999999999	19.013999999999999	1.1759999999999999	1.26	0.19600000000000001	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	96.299999999999997
"2020-03-30"	106.0	9.0	6.7140000000000004	1.0	0.0	0.14299999999999999	20.779	1.764	1.3160000000000001	0.19600000000000001	0.0	0.0	0.81000000000000005	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		96.299999999999997
"2020-03-31"	115.0	9.0	8.0	1.0	0.0	0.14299999999999999	22.542999999999999	1.764	1.5680000000000001	0.19600000000000001	0.0	0.0	0.87	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		96.299999999999997
