DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-21"	1.0	1.0	NULL		0.0	NULL	0.112	0.112	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	22.219999999999999
"2020-03-22"	1.0	0.0	NULL		0.0	NULL	0.112	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	22.219999999999999
"2020-03-23"	1.0	0.0	NULL		0.0	NULL	0.112	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	33.329999999999998
"2020-03-24"	1.0	0.0	NULL		0.0	NULL	0.112	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-03-25"	1.0	0.0	NULL		0.0	NULL	0.112	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-03-26"	1.0	0.0	NULL		0.0	NULL	0.112	0.0	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-03-27"	1.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.112	0.0	0.016	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-03-28"	1.0	0.0	0.0	NULL	0.0	0.0	0.112	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-03-29"	1.0	0.0	0.0	NULL	0.0	0.0	0.112	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-03-30"	1.0	0.0	0.0	NULL	0.0	0.0	0.112	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-03-31"	1.0	0.0	0.0	NULL	0.0	0.0	0.112	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-04-01"	1.0	0.0	0.0	NULL	0.0	0.0	0.112	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-04-02"	1.0	0.0	0.0	NULL	0.0	0.0	0.112	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-04-03"	1.0	0.0	0.0	NULL	0.0	0.0	0.112	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-04-04"	1.0	0.0	0.0	NULL	0.0	0.0	0.112	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-04-05"	1.0	0.0	0.0	NULL	0.0	0.0	0.112	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-04-06"	1.0	0.0	0.0	NULL	0.0	0.0	0.112	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	74.069999999999993
"2020-04-07"	1.0	0.0	0.0	NULL	0.0	0.0	0.112	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	65.739999999999995
"2020-04-08"	2.0	1.0	0.14299999999999999	NULL	0.0	0.0	0.224	0.112	0.016	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	76.849999999999994
"2020-04-09"	2.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.224	0.0	0.016	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	82.409999999999997
"2020-04-10"	2.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.224	0.0	0.016	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	82.409999999999997
"2020-04-11"	2.0	0.0	0.14299999999999999	NULL	0.0	0.0	0.224	0.0	0.016	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	82.409999999999997
