DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-07"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	1.0	1.0	NULL	0.0	NULL		NULL	"tests performed"	5.5599999999999996
"2020-03-08"	1.0	1.0	NULL		0.0	NULL	0.14000000000000001	0.14000000000000001	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"tests performed"	5.5599999999999996
"2020-03-09"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"tests performed"	5.5599999999999996
"2020-03-10"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	9.0	8.0	NULL	0.001	NULL		NULL	"tests performed"	39.810000000000002
"2020-03-11"	5.0	4.0	NULL		0.0	NULL	0.70099999999999996	0.56100000000000005	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	16.0	7.0	NULL	0.002	NULL		NULL	"tests performed"	39.810000000000002
"2020-03-12"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	22.0	6.0	NULL	0.0030000000000000001	NULL		NULL	"tests performed"	39.810000000000002
"2020-03-13"	6.0	1.0	NULL		0.0	NULL	0.84099999999999997	0.14000000000000001	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	39.0	17.0	NULL	0.0050000000000000001	NULL		NULL	"tests performed"	50.93
"2020-03-14"	7.0	1.0	1.0	NULL	0.0	0.0	0.98099999999999998	0.14000000000000001	0.14000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	54.0	15.0	NULL	0.0080000000000000002	0.001	NULL		"tests performed"	50.93
"2020-03-15"	NULL		0.85699999999999998	NULL		0.0	NULL		0.12	NULL		NULL		NULL		NULL		NULL		NULL		87.0	33.0	NULL	0.012	0.002	14.0	0.070999999999999994	"tests performed"	50.93
"2020-03-16"	8.0	1.0	1.0	NULL	0.0	0.0	1.1220000000000001	0.14000000000000001	0.14000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	114.0	27.0	NULL	0.016	0.002	15.0	0.067000000000000004	"tests performed"	70.370000000000005
