DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-02-28"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	1.0	1.0	NULL	0.0	NULL		NULL	"tests performed"	0.0
"2020-02-29"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"tests performed"	0.0
"2020-03-01"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"tests performed"	0.0
"2020-03-02"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"tests performed"	0.0
"2020-03-03"	1.0	1.0	NULL		0.0	NULL	0.059999999999999998	0.059999999999999998	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	3.0	2.0	NULL	0.0	NULL		NULL	"tests performed"	0.0
"2020-03-04"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	14.0	11.0	NULL	0.001	NULL		NULL	"tests performed"	0.0
"2020-03-05"	3.0	2.0	NULL		0.0	NULL	0.17899999999999999	0.11899999999999999	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"tests performed"	0.0
"2020-03-06"	4.0	1.0	NULL		0.0	NULL	0.23899999999999999	0.059999999999999998	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	16.0	2.0	NULL	0.001	0.0	NULL		"tests performed"	0.0
"2020-03-07"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	18.0	2.0	NULL	0.001	0.0	NULL		"tests performed"	0.0
"2020-03-08"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	20.0	2.0	NULL	0.001	0.0	NULL		"tests performed"	0.0
"2020-03-09"	NULL		0.57099999999999995	NULL		0.0	NULL		0.034000000000000002	NULL		NULL		NULL		NULL		NULL		NULL		26.0	6.0	NULL	0.002	0.0	NULL		"tests performed"	0.0
"2020-03-10"	NULL		0.42899999999999999	NULL		0.0	NULL		0.025999999999999999	NULL		NULL		NULL		NULL		NULL		NULL		27.0	1.0	NULL	0.002	0.0	7.0	0.14299999999999999	"tests performed"	0.0
"2020-03-11"	NULL		0.42899999999999999	NULL		0.0	NULL		0.025999999999999999	NULL		NULL		NULL		NULL		NULL		NULL		35.0	8.0	NULL	0.002	0.0	7.0	0.14299999999999999	"tests performed"	0.0
"2020-03-12"	NULL		0.14299999999999999	NULL		0.0	NULL		0.0089999999999999993	NULL		NULL		NULL		NULL		NULL		NULL		41.0	6.0	NULL	0.002	0.0	28.0	0.035999999999999997	"tests performed"	0.0
"2020-03-13"	6.0	2.0	0.28599999999999998	NULL	0.0	0.0	0.35799999999999998	0.11899999999999999	0.017000000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	53.0	12.0	NULL	0.0030000000000000001	0.0	17.5	0.057000000000000002	"tests performed"	0.0
