DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-02-26"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	16.0	NULL		0.002	NULL		NULL	"people tested"	13.890000000000001
"2020-02-27"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	25.0	9.0	NULL	0.0040000000000000001	NULL		NULL	"people tested"	13.890000000000001
"2020-02-28"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	30.0	5.0	NULL	0.0040000000000000001	NULL		NULL	"people tested"	13.890000000000001
"2020-02-29"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	33.0	3.0	NULL	0.0050000000000000001	NULL		NULL	"people tested"	13.890000000000001
"2020-03-01"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	36.0	3.0	NULL	0.0050000000000000001	NULL		NULL	"people tested"	13.890000000000001
"2020-03-02"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	45.0	9.0	NULL	0.0070000000000000001	NULL		NULL	"people tested"	13.890000000000001
"2020-03-03"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	46.0	1.0	NULL	0.0070000000000000001	NULL		NULL	"people tested"	13.890000000000001
"2020-03-04"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	50.0	4.0	NULL	0.0070000000000000001	0.001	NULL		"people tested"	13.890000000000001
"2020-03-05"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.001	NULL		"people tested"	13.890000000000001
"2020-03-06"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	67.0	NULL		0.01	0.001	NULL		"people tested"	13.890000000000001
"2020-03-07"	1.0	1.0	NULL		0.0	NULL	0.14699999999999999	0.14699999999999999	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	91.0	24.0	NULL	0.012999999999999999	0.001	NULL		"people tested"	13.890000000000001
"2020-03-08"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	94.0	3.0	NULL	0.014	0.001	NULL		"people tested"	13.890000000000001
"2020-03-09"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	101.0	7.0	NULL	0.014999999999999999	0.001	NULL		"people tested"	13.890000000000001
"2020-03-10"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	117.0	16.0	NULL	0.017000000000000001	0.001	NULL		"people tested"	13.890000000000001
"2020-03-11"	5.0	4.0	NULL		0.0	NULL	0.73499999999999999	0.58799999999999997	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	151.0	34.0	NULL	0.021999999999999999	0.002	NULL		"people tested"	25.0
"2020-03-12"	18.0	13.0	NULL		0.0	NULL	2.645	1.9099999999999999	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	185.0	34.0	NULL	0.027	0.0030000000000000001	NULL		"people tested"	25.0
"2020-03-13"	24.0	6.0	3.4289999999999998	NULL	0.0	0.0	3.5270000000000001	0.88200000000000001	0.504	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	239.0	54.0	NULL	0.035000000000000003	0.0040000000000000001	NULL		"people tested"	25.0
"2020-03-14"	41.0	17.0	5.7140000000000004	NULL	0.0	0.0	6.0250000000000004	2.4980000000000002	0.83999999999999997	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	268.0	29.0	NULL	0.039	0.0040000000000000001	4.375	0.22900000000000001	"people tested"	25.0
"2020-03-15"	46.0	5.0	6.4290000000000003	NULL	0.0	0.0	6.7599999999999998	0.73499999999999999	0.94499999999999995	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	283.0	15.0	NULL	0.042000000000000003	0.0040000000000000001	4.2000000000000002	0.23799999999999999	"people tested"	49.07
"2020-03-16"	55.0	9.0	7.7140000000000004	NULL	0.0	0.0	8.0830000000000002	1.323	1.1339999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	316.0	33.0	NULL	0.045999999999999999	0.0050000000000000001	4.0190000000000001	0.249	"people tested"	66.670000000000002
"2020-03-17"	57.0	2.0	8.0	NULL	0.0	0.0	8.3770000000000007	0.29399999999999998	1.1759999999999999	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	374.0	58.0	NULL	0.055	0.0050000000000000001	4.625	0.216	"people tested"	66.670000000000002
"2020-03-18"	72.0	15.0	9.5709999999999997	NULL	0.0	0.0	10.581	2.2040000000000002	1.407	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	440.0	66.0	NULL	0.065000000000000002	0.0060000000000000001	4.2839999999999998	0.23300000000000001	"people tested"	81.480000000000004
"2020-03-19"	94.0	22.0	10.856999999999999	NULL	0.0	0.0	13.814	3.2330000000000001	1.5960000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	506.0	66.0	NULL	0.073999999999999996	0.0070000000000000001	4.2370000000000001	0.23599999999999999	"people tested"	81.480000000000004
