DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-06"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	378.0	378.0	NULL	0.069000000000000006	NULL		NULL	"tests performed"	16.670000000000002
"2020-03-07"	1.0	1.0	NULL		0.0	NULL	0.183	0.183	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	444.0	66.0	NULL	0.081000000000000003	NULL		NULL	"tests performed"	16.670000000000002
"2020-03-08"	3.0	2.0	NULL		0.0	NULL	0.54900000000000004	0.36599999999999999	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	520.0	76.0	NULL	0.095000000000000001	NULL		NULL	"tests performed"	16.670000000000002
"2020-03-09"	5.0	2.0	NULL		0.0	NULL	0.91600000000000004	0.36599999999999999	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	589.0	69.0	NULL	0.108	NULL		NULL	"tests performed"	22.219999999999999
"2020-03-10"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	700.0	111.0	NULL	0.128	NULL		NULL	"tests performed"	33.329999999999998
"2020-03-11"	7.0	2.0	NULL		0.0	NULL	1.282	0.36599999999999999	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	797.0	97.0	NULL	0.14599999999999999	NULL		NULL	"tests performed"	33.329999999999998
"2020-03-12"	10.0	3.0	NULL		0.0	NULL	1.8320000000000001	0.54900000000000004	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	892.0	95.0	NULL	0.16300000000000001	NULL		NULL	"tests performed"	45.369999999999997
"2020-03-13"	21.0	11.0	3.0	NULL	0.0	0.0	3.8460000000000001	2.0150000000000001	0.54900000000000004	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	950.0	58.0	NULL	0.17399999999999999	0.014999999999999999	NULL		"tests performed"	58.329999999999998
"2020-03-14"	30.0	9.0	4.1429999999999998	NULL	0.0	0.0	5.4950000000000001	1.6479999999999999	0.75900000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	1147.0	197.0	NULL	0.20999999999999999	0.017999999999999999	24.138000000000002	0.041000000000000002	"tests performed"	63.890000000000001
"2020-03-15"	44.0	14.0	5.8570000000000002	NULL	0.0	0.0	8.0589999999999993	2.5640000000000001	1.073	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	1436.0	289.0	NULL	0.26300000000000001	0.024	22.366	0.044999999999999998	"tests performed"	63.890000000000001
"2020-03-16"	61.0	17.0	8.0	NULL	0.0	0.0	11.173	3.1139999999999999	1.4650000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	1595.0	159.0	NULL	0.29199999999999998	0.025999999999999999	18.0	0.056000000000000001	"tests performed"	75.0
"2020-03-17"	84.0	23.0	11.286	NULL	0.0	0.0	15.385999999999999	4.2130000000000001	2.0670000000000002	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	1913.0	318.0	NULL	0.34999999999999998	0.032000000000000001	15.329000000000001	0.065000000000000002	"tests performed"	75.0
"2020-03-18"	97.0	13.0	12.856999999999999	NULL	0.0	0.0	17.766999999999999	2.3809999999999998	2.355	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	2138.0	225.0	NULL	0.39200000000000002	0.035000000000000003	14.933	0.067000000000000004	"tests performed"	75.0
"2020-03-19"	107.0	10.0	13.856999999999999	NULL	0.0	0.0	19.597999999999999	1.8320000000000001	2.5379999999999998	NULL	0.0	0.0	1.1799999999999999	NULL		NULL		NULL		NULL		2439.0	301.0	NULL	0.44700000000000001	0.040000000000000001	15.948	0.063	"tests performed"	75.0
