DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-04"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	2.0	2.0	NULL	0.0	NULL		NULL	"tests performed"	0.0
"2020-03-05"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	4.0	2.0	NULL	0.0	NULL		NULL	"tests performed"	0.0
"2020-03-06"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"tests performed"	0.0
"2020-03-07"	1.0	1.0	NULL		0.0	NULL	0.121	0.121	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL	5.0	1.0	NULL	0.001	NULL		NULL	"tests performed"	0.0
"2020-03-08"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		"tests performed"	0.0
"2020-03-09"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	9.0	4.0	NULL	0.001	NULL		NULL	"tests performed"	0.0
"2020-03-10"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	13.0	4.0	NULL	0.002	NULL		NULL	"tests performed"	0.0
"2020-03-11"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL		"tests performed"	0.0
"2020-03-12"	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	17.0	4.0	NULL	0.002	0.0	NULL		"tests performed"	0.0
"2020-03-13"	NULL		0.14299999999999999	NULL		0.0	NULL		0.017000000000000001	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		0.0	NULL		"tests performed"	0.0
"2020-03-14"	NULL		0.0	NULL		0.0	NULL		0.0	NULL		NULL		NULL		NULL		NULL		NULL		19.0	2.0	NULL	0.002	0.0	NULL	0.0	"tests performed"	0.0
"2020-03-15"	1.0	0.0	0.0	NULL	0.0	0.0	0.121	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL	0.0	NULL	0.0	"tests performed"	0.0
"2020-03-16"	1.0	0.0	0.0	NULL	0.0	0.0	0.121	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	22.0	3.0	NULL	0.0030000000000000001	0.0	NULL	0.0	"tests performed"	22.219999999999999
"2020-03-17"	1.0	0.0	0.0	NULL	0.0	0.0	0.121	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	34.0	12.0	NULL	0.0040000000000000001	0.0	NULL	0.0	"tests performed"	22.219999999999999
"2020-03-18"	1.0	0.0	0.0	NULL	0.0	0.0	0.121	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	54.0	20.0	NULL	0.0070000000000000001	0.001	NULL	0.0	"tests performed"	22.219999999999999
"2020-03-19"	1.0	0.0	0.0	NULL	0.0	0.0	0.121	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	84.0	30.0	NULL	0.01	0.001	NULL	0.0	"tests performed"	27.780000000000001
"2020-03-20"	1.0	0.0	0.0	NULL	0.0	0.0	0.121	0.0	0.0	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	105.0	21.0	NULL	0.012999999999999999	0.001	NULL	0.0	"tests performed"	61.109999999999999
"2020-03-21"	9.0	8.0	1.143	NULL	0.0	0.0	1.087	0.96599999999999997	0.13800000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL	130.0	25.0	NULL	0.016	0.002	14.0	0.070999999999999994	"tests performed"	69.439999999999998
