DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-12"	1.0	1.0	NULL		0.0	NULL	0.012	0.012	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	23.149999999999999
"2020-03-13"	2.0	1.0	NULL		0.0	NULL	0.024	0.012	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	23.149999999999999
"2020-03-16"	18.0	16.0	NULL		0.0	NULL	0.21299999999999999	0.19	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	52.780000000000001
"2020-03-17"	47.0	29.0	NULL		0.0	NULL	0.55700000000000005	0.34399999999999997	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	52.780000000000001
"2020-03-18"	98.0	51.0	14.0	NULL	0.0	0.0	1.1619999999999999	0.60499999999999998	0.16600000000000001	NULL	0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	58.329999999999998
"2020-03-19"	191.0	93.0	27.143000000000001	1.0	1.0	0.14299999999999999	2.2650000000000001	1.103	0.32200000000000001	0.012	0.012	0.012	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	58.329999999999998
"2020-03-20"	359.0	168.0	51.0	4.0	3.0	0.57099999999999995	4.2569999999999997	1.992	0.60499999999999998	0.047	0.035999999999999997	0.035999999999999997	6.1299999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		58.329999999999998
"2020-03-21"	670.0	311.0	95.429000000000002	9.0	5.0	1.286	7.944	3.6869999999999998	1.131	0.107	0.058999999999999997	0.058999999999999997	6.3799999999999999	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		62.039999999999999
"2020-03-22"	947.0	277.0	135.0	21.0	12.0	3.0	11.228	3.2839999999999998	1.601	0.249	0.14199999999999999	0.14199999999999999	5.96	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		62.039999999999999
"2020-03-23"	1236.0	289.0	174.0	30.0	9.0	4.2859999999999996	14.654999999999999	3.427	2.0630000000000002	0.35599999999999998	0.107	0.107	2.6200000000000001	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		62.039999999999999
"2020-03-24"	1529.0	293.0	211.714	37.0	7.0	5.2859999999999996	18.129000000000001	3.4740000000000002	2.5099999999999998	0.439	0.083000000000000004	0.083000000000000004	2.27	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		67.590000000000003
"2020-03-25"	1872.0	343.0	253.429	44.0	7.0	6.2859999999999996	22.196000000000002	4.0670000000000002	3.0049999999999999	0.52200000000000002	0.083000000000000004	0.083000000000000004	3.02	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		67.590000000000003
"2020-03-26"	2433.0	561.0	320.286	59.0	15.0	8.2859999999999996	28.847999999999999	6.6520000000000001	3.798	0.69999999999999996	0.17799999999999999	0.17799999999999999	4.5	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		67.590000000000003
"2020-03-27"	3629.0	1196.0	467.14299999999997	75.0	16.0	10.143000000000001	43.029000000000003	14.180999999999999	5.5389999999999997	0.88900000000000001	0.19	0.19	4.8499999999999996	NULL		NULL		NULL		NULL		47823.0	7533.0	NULL	0.56699999999999995	NULL		NULL	"tests performed"	70.370000000000005
"2020-03-28"	5698.0	2069.0	718.28599999999994	92.0	17.0	11.856999999999999	67.561000000000007	24.532	8.5169999999999995	1.091	0.20200000000000001	0.20200000000000001	3.0	NULL		NULL		NULL		NULL		55464.0	7641.0	NULL	0.65800000000000003	NULL		NULL	"tests performed"	75.930000000000007
"2020-03-29"	7402.0	1704.0	922.14300000000003	108.0	16.0	12.429	87.765000000000001	20.204000000000001	10.933999999999999	1.2809999999999999	0.19	0.19	2.3799999999999999	NULL		NULL		NULL		NULL		65446.0	9982.0	NULL	0.77600000000000002	NULL		NULL	"tests performed"	75.930000000000007
"2020-03-30"	9217.0	1815.0	1140.143	131.0	23.0	14.429	109.285	21.52	13.519	1.5529999999999999	0.27300000000000002	0.27300000000000002	1.95	NULL		NULL		NULL		NULL		76981.0	11535.0	NULL	0.91300000000000003	NULL		NULL	"tests performed"	75.930000000000007
"2020-03-31"	10827.0	1610.0	1328.2860000000001	168.0	37.0	18.713999999999999	128.375	19.09	15.749000000000001	1.992	0.439	0.439	2.3999999999999999	NULL		NULL		NULL		NULL		92403.0	15422.0	NULL	1.0960000000000001	NULL		NULL	"tests performed"	75.930000000000007
"2020-04-01"	13531.0	2704.0	1665.5709999999999	214.0	46.0	24.286000000000001	160.43600000000001	32.061	19.748999999999999	2.5369999999999999	0.54500000000000004	0.54500000000000004	1.8200000000000001	NULL		NULL		NULL		NULL		106799.0	14396.0	NULL	1.266	NULL		NULL	"tests performed"	75.930000000000007
"2020-04-02"	15679.0	2148.0	1892.2860000000001	277.0	63.0	31.143000000000001	185.904	25.469000000000001	22.437000000000001	3.2839999999999998	0.747	0.747	1.78	NULL		NULL		NULL		NULL		125556.0	18757.0	NULL	1.4890000000000001	NULL		NULL	"tests performed"	75.930000000000007
