DATE	TOTAL_CASES	NEW_CASES	NEW_CASES_SMOOTHED	TOTAL_DEATHS	NEW_DEATHS	NEW_DEATHS_SMOOTHED	TOTAL_CASES_PER_MILLION	NEW_CASES_PER_MILLION	NEW_CASES_SMOOTHED_PER_MILLION	TOTAL_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	NEW_DEATHS_PER_MILLION	REPRODUCTION_RATE	ICU_PATIENTS	ICU_PATIENTS_PER_MILLION	HOSP_PATIENTS	HOSP_PATIENTS_PER_MILLION	WEEKLY_ICU_ADMISSIONS	WEEKLY_ICU_ADMISSIONS_PER_MILLION	WEEKLY_HOSP_ADMISSIONS	WEEKLY_HOSP_ADMISSIONS_PER_MILLION	TOTAL_TESTS	NEW_TESTS	NEW_TESTS_SMOOTHED	TOTAL_TESTS_PER_THOUSAND	NEW_TESTS_SMOOTHED_PER_THOUSAND	TESTS_PER_CASE	POSITIVE_RATE	TESTS_UNITS	STRINGENCY_INDEX
"2020-03-15"	6.0	6.0	NULL		0.0	NULL	1.7270000000000001	1.7270000000000001	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	51.850000000000001
"2020-03-16"	8.0	2.0	NULL		0.0	NULL	2.3029999999999999	0.57599999999999996	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	54.630000000000003
"2020-03-17"	29.0	21.0	NULL		0.0	NULL	8.3480000000000008	6.0449999999999999	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	54.630000000000003
"2020-03-18"	50.0	21.0	NULL		0.0	NULL	14.394	6.0449999999999999	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	54.630000000000003
"2020-03-19"	79.0	29.0	NULL		0.0	NULL	22.742000000000001	8.3480000000000008	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	54.630000000000003
"2020-03-20"	94.0	15.0	NULL		0.0	NULL	27.059999999999999	4.3179999999999996	NULL		0.0	0.0	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL	54.630000000000003
"2020-03-21"	110.0	16.0	15.714	NULL	0.0	0.0	31.666	4.6059999999999999	4.524	NULL	0.0	0.0	1.02	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		54.630000000000003
"2020-03-22"	135.0	25.0	18.428999999999998	NULL	0.0	0.0	38.863	7.1970000000000001	5.3049999999999997	NULL	0.0	0.0	1.02	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		54.630000000000003
"2020-03-23"	158.0	23.0	21.428999999999998	NULL	0.0	0.0	45.484000000000002	6.6210000000000004	6.1689999999999996	NULL	0.0	0.0	1.02	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		54.630000000000003
"2020-03-24"	162.0	4.0	19.0	NULL	0.0	0.0	46.636000000000003	1.1519999999999999	5.4699999999999998	NULL	0.0	0.0	1.02	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		57.409999999999997
"2020-03-25"	189.0	27.0	19.856999999999999	NULL	0.0	0.0	54.408000000000001	7.7729999999999997	5.7160000000000002	NULL	0.0	0.0	1.02	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		57.409999999999997
"2020-03-26"	217.0	28.0	19.713999999999999	NULL	0.0	0.0	62.469000000000001	8.0609999999999999	5.6749999999999998	NULL	0.0	0.0	1.02	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		57.409999999999997
"2020-03-27"	238.0	21.0	20.571000000000002	NULL	0.0	0.0	68.513999999999996	6.0449999999999999	5.9219999999999997	NULL	0.0	0.0	1.02	NULL		NULL		NULL		NULL		NULL		NULL		NULL		NULL		62.960000000000001
"2020-03-28"	238.0	0.0	18.286000000000001	NULL	0.0	0.0	68.513999999999996	0.0	5.2640000000000002	NULL	0.0	0.0	1.02	NULL		NULL		NULL		NULL		2926.0	NULL		0.84199999999999997	NULL		NULL	"tests performed"	62.960000000000001
"2020-03-29"	259.0	21.0	17.713999999999999	NULL	0.0	0.0	74.560000000000002	6.0449999999999999	5.0999999999999996	NULL	0.0	0.0	1.02	NULL		NULL		NULL		NULL		3126.0	200.0	NULL	0.90000000000000002	NULL		NULL	"tests performed"	62.960000000000001
"2020-03-30"	295.0	36.0	19.571000000000002	1.0	1.0	0.14299999999999999	84.923000000000002	10.364000000000001	5.6340000000000003	0.28799999999999998	0.28799999999999998	0.28799999999999998	1.01	NULL		NULL		NULL		NULL		3425.0	299.0	NULL	0.98599999999999999	NULL		NULL	"tests performed"	62.960000000000001
"2020-03-31"	324.0	29.0	23.143000000000001	1.0	0.0	0.14299999999999999	93.272000000000006	8.3480000000000008	6.6619999999999999	0.28799999999999998	0.0	0.0	1.01	NULL		NULL		NULL		NULL		3819.0	394.0	NULL	1.099	NULL		NULL	"tests performed"	62.960000000000001
"2020-04-01"	330.0	6.0	20.143000000000001	1.0	0.0	0.14299999999999999	94.998999999999995	1.7270000000000001	5.7990000000000004	0.28799999999999998	0.0	0.0	1.01	NULL		NULL		NULL		NULL		4108.0	289.0	NULL	1.1830000000000001	NULL		NULL	"tests performed"	68.519999999999996
"2020-04-02"	341.0	11.0	17.713999999999999	2.0	1.0	0.28599999999999998	98.165000000000006	3.1669999999999998	5.0999999999999996	0.57599999999999996	0.28799999999999998	0.28799999999999998	1.01	NULL		NULL		NULL		NULL		4464.0	356.0	NULL	1.2849999999999999	NULL		NULL	"tests performed"	72.219999999999999
"2020-04-03"	359.0	18.0	17.286000000000001	4.0	2.0	0.57099999999999995	103.34699999999999	5.1820000000000004	4.976	1.1519999999999999	0.57599999999999996	0.57599999999999996	1.01	NULL		NULL		NULL		NULL		4786.0	322.0	NULL	1.3779999999999999	NULL		NULL	"tests performed"	72.219999999999999
"2020-04-04"	371.0	12.0	19.0	4.0	0.0	0.57099999999999995	106.80200000000001	3.4550000000000001	5.4699999999999998	1.1519999999999999	0.0	0.0	1.01	NULL		NULL		NULL		NULL		5063.0	277.0	NULL	1.458	0.087999999999999995	16.053000000000001	0.062	"tests performed"	72.219999999999999
"2020-04-05"	390.0	19.0	18.713999999999999	5.0	1.0	0.71399999999999997	112.271	5.4699999999999998	5.3869999999999996	1.4390000000000001	0.28799999999999998	0.28799999999999998	1.01	NULL		NULL		NULL		NULL		5208.0	145.0	NULL	1.4990000000000001	0.085000000000000006	15.869999999999999	0.063	"tests performed"	72.219999999999999
"2020-04-06"	407.0	17.0	16.0	6.0	1.0	0.71399999999999997	117.16500000000001	4.8940000000000001	4.6059999999999999	1.7270000000000001	0.28799999999999998	0.28799999999999998	1.01	NULL		NULL		NULL		NULL		5385.0	177.0	NULL	1.55	0.081000000000000003	17.5	0.057000000000000002	"tests performed"	72.219999999999999
"2020-04-07"	411.0	4.0	12.429	6.0	0.0	0.71399999999999997	118.31699999999999	1.1519999999999999	3.5779999999999998	1.7270000000000001	0.0	0.0	1.01	NULL		NULL		NULL		NULL		5727.0	342.0	NULL	1.649	0.079000000000000001	21.966000000000001	0.045999999999999999	"tests performed"	72.219999999999999
"2020-04-08"	417.0	6.0	12.429	7.0	1.0	0.85699999999999998	120.044	1.7270000000000001	3.5779999999999998	2.0150000000000001	0.28799999999999998	0.28799999999999998	1.01	NULL		NULL		NULL		NULL		6175.0	448.0	NULL	1.778	0.085000000000000006	23.736000000000001	0.042000000000000003	"tests performed"	72.219999999999999
"2020-04-09"	426.0	9.0	12.143000000000001	7.0	0.0	0.71399999999999997	122.63500000000001	2.5910000000000002	3.496	2.0150000000000001	0.0	0.0	1.01	NULL		NULL		NULL		NULL		6856.0	681.0	NULL	1.974	0.098000000000000004	28.164999999999999	0.035999999999999997	"tests performed"	72.219999999999999
"2020-04-10"	433.0	7.0	10.571	7.0	0.0	0.42899999999999999	124.65000000000001	2.0150000000000001	3.0430000000000001	2.0150000000000001	0.0	0.0	1.01	NULL		NULL		NULL		NULL		7496.0	640.0	NULL	2.1579999999999999	0.111	36.607999999999997	0.027	"tests performed"	72.219999999999999
"2020-04-11"	446.0	13.0	10.714	7.0	0.0	0.42899999999999999	128.392	3.742	3.0840000000000001	2.0150000000000001	0.0	0.0	1.01	NULL		NULL		NULL		NULL		8114.0	618.0	NULL	2.3359999999999999	0.126	40.692999999999998	0.025000000000000001	"tests performed"	72.219999999999999
"2020-04-12"	453.0	7.0	9.0	7.0	0.0	0.28599999999999998	130.40700000000001	2.0150000000000001	2.5910000000000002	2.0150000000000001	0.0	0.0	1.01	NULL		NULL		NULL		NULL		8774.0	660.0	NULL	2.5259999999999998	0.14699999999999999	56.555999999999997	0.017999999999999999	"tests performed"	72.219999999999999
