name	year	gdp_constPrices	gdp_constPrices_delta	gdp_currentPrices	gdp_currentPrices_usd	gdp_currentPrices_ppp	gdp_deflator	gdp_perCap_constPrices	gdp_perCap_constPrices_ppp	gdp_perCap_currentPrices	gdp_perCap_currentPrices_usd	gdp_perCap_currentPrices_ppp	output_gap_pGDP	gdp_ppp_frac_of_total_world	implied_ppp	total_investment	gross_national_savings	inflation_avgConsumerPrices	inflation_avgConsumerPrices_delta	inflation_eopConsumerPrices	inflation_eopConsumerPrices_delta	six_month_LIBOR	vol_imports_goods_and_services_delta	vol_imports_goods_delta	vol_exports_goods_and_services_delta	vol_exports_goods_delta	unemployment_rate	employed_persons	population	government_revenue_currency	government_revenue_percent	government_total_expenditure_currency	government_total_expenditure_percent	government_net_lb_currency	government_net_lb_percent	government_structural_balance_currency	government_structural_balance_percent_pGDP	government_primary_net_lb_currency	government_primary_net_lb_percent	government_net_debt_currency	government_net_debt_percent	government_gross_debt_currency	government_gross_debt_percent	gdp_of_fiscal_year	current_account_balance_usd	current_account_balance_percentGDP
Afghanistan	2018	1270.216	1.189	1327.69	18.401	77.416	104.525	34921.941	2078.476	36502.087	505.909	2128.38		0.06	17.15	18.039	30.197	111.693	0.626	113.162	0.755		-4.551	-7.405	28.901	3.793			36.373	405.873	30.57	384.176	28.936	21.697	1.634			22.486	1.694			98.042	7.384	1327.69	2.237	12.158
Afghanistan	2019	1319.902	3.912	1469.596	18.876	81.88	111.341	35472.643	2111.253	39495.722	507.29	2200.539		0.061	17.948	18.192	29.897	114.264	2.302	116.3	2.773		-7.862	-5.758	-5.116	0.068			37.209	395.923	26.941	411.473	27.999	-15.55	-1.058			-14.971	-1.019			90.092	6.13	1469.596	2.209	11.705
Afghanistan	2020	1253.906	-5	1465.922	19.006	78.884	116.908	32949.849	1961.102	38521.149	499.441	2072.894		0.061	18.583	17.046	26.526	120.484	5.443	122.115	5		4.926	6.448	-33.428	-27.053			38.055	437.848	29.868	478.785	32.661	-40.936	-2.793			-40.322	-2.751			115.049	7.848	1465.922	1.802	9.481
Afghanistan	2021	1304.063	4	1597.738	19.692	83.852	122.52	33497.402	1993.691	41041.027	505.827	2153.897		0.06	19.054	18.102	25.877	126.258	4.793	127.61	4.5		4.958	4.605	38.067	34.963			38.93	411.943	25.783	446.653	27.955	-34.711	-2.172			-34.083	-2.133			142.295	8.906	1597.738	1.531	7.775
Albania	2018	821.061	4.071	1635.715	15.147	40.08	199.22	286445.513	13654.821	570655.989	5284.442	13982.669		0.031	40.812	24.34	17.129	105.39	2.029	105.885	1.799		5.766	4.233	3.467	14.139	12.3		2.866	449.389	27.474	471.407	28.82	-22.018	-1.346			14.495	0.886	983.326	60.116	1136.963	69.509	1635.715	-1.024	-6.758
Albania	2019	839.449	2.24	1678.431	15.276	41.709	199.944	292520.043	13944.393	584876.957	5323.185	14534.109		0.031	40.242	22.752	14.887	106.878	1.411	107.103	1.15		4.721	3.461	1.699	-8.454	11.5		2.87	460.314	27.425	493.165	29.383	-32.851	-1.957			2.291	0.137	1000.201	59.591	1137.099	67.748	1678.431	-1.166	-7.632
Albania	2020	776.248	-7.529	1570.144	14.034	39.113	202.274	270928.274	12915.116	548016.29	4898.277	13651.341		0.03	40.144	22.614	11.02	108.38	1.405	108.334	1.15		-21.846	-25.27	-35.342	-5.733	11.8		2.865	384.224	24.471	516.462	32.893	-132.238	-8.422			-98.591	-6.279	1182.219	75.294	1307.735	83.288	1570.144	-1.642	-11.697
Albania	2021	823.552	6.094	1691.654	14.763	42.413	205.409	287897.614	13724.042	591368.93	5160.77	14826.862		0.03	39.885	24.087	14.993	110.195	1.675	110.718	2.2		12.285	12.13	36.824	12.205	11.5		2.861	452.459	26.747	532.35	31.469	-79.891	-4.723			-43.622	-2.579	1281.922	75.779	1407.477	83.201	1691.654	-1.255	-8.501
Algeria	2018	7467.78	1.4	20259	173.757	496.403	271.285	175390.587	11385.311	475809.103	4080.913	11658.67		0.386	40.812	49.385	39.802	202.253	4.27	202.96	2.702		1.45	0.678	-7.158	-6.123	11.731		42.578	6826.881	33.698	7732.07	38.166	-905.189	-4.468			-942.848	-4.654	5155.285	25.447	7733.646	38.174	20259	-16.706	-9.615
Algeria	2019	7527.523	0.8	20202.238	169.267	509.307	268.378	173349.361	11252.807	465232.079	3898.011	11728.695		0.379	39.666	42.658	32.548	206.2	1.952	207.9	2.434		-0.027	1.758	-3.636	-5.125	11.383		43.424	6586.5	32.603	7725.477	38.241	-1138.977	-5.638			-1263.335	-6.253	6167.007	30.526	9349.221	46.278	20202.238	-17.112	-10.11
Algeria	2020	7116.439	-5.461	18268.972	147.323	488.291	256.715	160907.122	10445.131	413072.84	3331.076	11040.555		0.375	37.414	37.5	26.696	213.417	3.5	218.711	5.2		-2.681	-2.681	2.027	-2.5	14.103		44.227	5143.064	28.152	7241.685	39.639	-2098.621	-11.487			-2178.831	-11.926	9778.385	53.525	10453.166	57.218	18268.972	-15.917	-10.804
Algeria	2021	7341.564	3.163	20048.527	155.306	514.866	273.083	163058.895	10584.812	445285.332	3449.415	11435.373		0.368	38.939	42.481	25.866	221.527	3.8	224.179	2.5		-0.503	-0.503	-5.859	-5.013	14.301		45.024	5567.473	27.77	7848.195	39.146	-2280.723	-11.376			-2310.232	-11.523	12837.896	64.034	13347.004	66.573	20048.527	-25.803	-16.615
Angola	2018	1567.538	-1.2	26777.992	105.902	220.542	1708.283	53591.037	7363.118	915486.639	3620.589	7539.905		0.171	121.419	20.467	27.457	301.218	19.629	326.194	18.604		-11.139	5.943	0.107	1.403			29.25	5859.955	21.883	5273.865	19.695	586.09	2.189	872.68	3.044	1799.999	6.722			23832.49	89	26777.992	7.403	6.99
Angola	2019	1553.43	-0.9	32621.698	89.417	222.459	2099.978	51561.862	7084.321	1082787.757	2967.958	7383.921		0.165	146.641	19.786	25.525	352.664	17.079	381.299	16.893		-11.289	-7.894	0.227	0.496			30.128	6529.102	20.015	6270.786	19.223	258.316	0.792	365.929	1.088	1961.72	6.014			35626.289	109.21	32621.698	5.132	5.739
Angola	2020	1491.115	-4.011	35518.103	62.724	216.55	2381.982	48051.925	6602.074	1144588.303	2021.31	6978.425		0.166	164.018	21.527	20.224	426.808	21.024	465.972	22.206		-23.763	-24.436	1.212	0.638			31.031	6366.629	17.925	7363.802	20.733	-997.172	-2.808	-548.1	-1.4	1402.994	3.95			42724.72	120.29	35518.103	-0.817	-1.303
Angola	2021	1539.264	3.229	45349.245	68.072	228.481	2946.164	48158.78	6616.756	1418836.598	2129.753	7148.457		0.163	198.482	21.091	21.205	514.862	20.631	557.253	19.589		13.388	8.272	-0.296	0.187			31.962	8924.466	19.679	8982.755	19.808	-58.289	-0.129	-89.756	-0.199	2732.879	6.026			48762.195	107.526	45349.245	0.077	0.114
Antigua and Barbuda	2018	3.502	6.95	4.334	1.605	2.073	123.768	36782.204	21267.016	45524.577	16860.955	21777.631		0.002	2.09	36.685	23.003	99.614	1.211	100.12	1.739		8.601	16.146	1.573	-3.165			0.095	0.859	19.822	0.996	22.985	-0.137	-3.162			-0.028	-0.651			3.932	90.718	4.334	-0.22	-13.682
Antigua and Barbuda	2019	3.619	3.351	4.487	1.662	2.181	123.978	37448.324	21652.158	46427.74	17195.459	22567.841		0.002	2.057	33.239	26.732	101.083	1.475	101.64	1.518		-1.191	-5.149	8.048	8.555			0.097	0.849	18.923	1.031	22.967	-0.181	-4.044			-0.056	-1.246			3.79	84.468	4.487	-0.108	-6.507
Antigua and Barbuda	2020	2.994	-17.273	3.75	1.389	1.83	125.237	30524.635	17648.967	38228.141	14158.571	18655.044		0.001	2.049	27.397	5.362	102.085	0.991	102.364	0.712		-39.681	-29.627	-58.966	-34.902			0.098	0.67	17.867	1.127	30.054	-0.457	-12.187			-0.35	-9.321			4.263	113.687	3.75	-0.306	-22.035
